com.samsung.health.device_profile,1140029,6
create_time,capability,update_time,pkg_name,providing_step_goal,step_source_group,device_type,backsync_step_goal,deviceuuid,manufacturer,connectivity_type,datauuid,device_group,model,fixed_name,name
2020. 07. 07. 오후 6:31:40,,2020. 07. 07. 오후 6:31:40,com.sec.android.app.shealth,,,,,sb+tNhfKEH,Apple,,39623964-6636-3038-6634-396163613332,360001,iPhone 6,iPhone 6,My Device,
2020. 07. 07. 오후 6:32:11,,2020. 07. 07. 오후 6:32:11,com.sec.android.app.shealth,,,,,VfS0qUERdZ,Combined,,37616639-3732-3263-6364-393930376237,0,Combined,,Combined,
2020. 07. 07. 오후 6:32:23,38353038-6562-3939-3139-313933343366.capability,2020. 07. 07. 오후 6:32:23,com.sec.android.app.shealth,1,23,10049,1,Eb+lTn/Fs+,Samsung Electronics,,38353038-6562-3939-3139-313933343366,360003,SM-R820,,Galaxy Watch Active2,

