com.samsung.shealth.stress,1140029,7
update_time,pkg_name,time_offset,binning_data,max,start_time,comment,tag_id,deviceuuid,custom,end_time,datauuid,create_time,score,algorithm,min
2020. 07. 10. 오후 6:06:23,com.sec.android.app.shealth,32400000,8133ffe2-f375-c9c5-a32d-53514659f6b8.binning_data,100.000000,2020. 07. 10. 오후 5:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 10. 오후 5:59:59,8133ffe2-f375-c9c5-a32d-53514659f6b8,2020. 07. 10. 오후 6:06:23,14.000000,1,0.000000,
2020. 07. 10. 오후 7:03:24,com.sec.android.app.shealth,32400000,84856b94-9d55-2c1d-0997-6218565a2c49.binning_data,96.000000,2020. 07. 10. 오후 6:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 10. 오후 6:59:59,84856b94-9d55-2c1d-0997-6218565a2c49,2020. 07. 10. 오후 7:03:24,5.000000,1,0.000000,
2020. 07. 10. 오후 8:03:36,com.sec.android.app.shealth,32400000,fa0b3aed-ac6b-5295-4a79-b4716714e92b.binning_data,100.000000,2020. 07. 10. 오후 7:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 10. 오후 7:59:59,fa0b3aed-ac6b-5295-4a79-b4716714e92b,2020. 07. 10. 오후 8:03:36,15.000000,1,0.000000,
2020. 07. 10. 오후 9:03:55,com.sec.android.app.shealth,32400000,19bb024d-cd9b-c232-124e-234d4e798cc1.binning_data,99.000000,2020. 07. 10. 오후 8:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 10. 오후 8:59:59,19bb024d-cd9b-c232-124e-234d4e798cc1,2020. 07. 10. 오후 9:03:55,43.000000,1,0.000000,
2020. 07. 10. 오후 10:09:30,com.sec.android.app.shealth,32400000,042367ee-c437-92e4-e634-66cb09417459.binning_data,100.000000,2020. 07. 10. 오후 9:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 10. 오후 9:59:59,042367ee-c437-92e4-e634-66cb09417459,2020. 07. 10. 오후 10:09:30,43.000000,1,0.000000,
2020. 07. 10. 오후 11:02:48,com.sec.android.app.shealth,32400000,55687f92-90eb-a385-cfef-215300dff344.binning_data,99.000000,2020. 07. 10. 오후 10:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 10. 오후 10:59:59,55687f92-90eb-a385-cfef-215300dff344,2020. 07. 10. 오후 11:02:48,38.000000,1,0.000000,
2020. 07. 10. 오후 11:02:48,com.sec.android.app.shealth,32400000,a8265469-6546-34bc-8e6f-bd2aba2b4881.binning_data,75.000000,2020. 07. 10. 오후 11:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 10. 오후 11:02:48,a8265469-6546-34bc-8e6f-bd2aba2b4881,2020. 07. 10. 오후 11:02:48,58.000000,1,44.000000,
2020. 07. 12. 오후 12:04:47,com.sec.android.app.shealth,32400000,48160fde-b9b0-785a-ae27-570a1421227b.binning_data,96.000000,2020. 07. 12. 오전 11:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 12. 오전 11:59:59,48160fde-b9b0-785a-ae27-570a1421227b,2020. 07. 12. 오후 12:04:47,17.000000,1,0.000000,
2020. 07. 12. 오후 1:05:30,com.sec.android.app.shealth,32400000,f5684980-2ee9-4e40-db12-14080d909d38.binning_data,99.000000,2020. 07. 12. 오후 12:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 12. 오후 12:59:59,f5684980-2ee9-4e40-db12-14080d909d38,2020. 07. 12. 오후 1:05:30,15.000000,1,0.000000,
2020. 07. 12. 오후 2:02:59,com.sec.android.app.shealth,32400000,efbfa1ee-1054-9f0e-02e1-79116944f198.binning_data,99.000000,2020. 07. 12. 오후 1:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 12. 오후 1:59:59,efbfa1ee-1054-9f0e-02e1-79116944f198,2020. 07. 12. 오후 2:02:59,23.000000,1,0.000000,
2020. 07. 12. 오후 3:03:38,com.sec.android.app.shealth,32400000,7a4ad7f0-70e5-8423-1687-4e44c97f349e.binning_data,100.000000,2020. 07. 12. 오후 2:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 12. 오후 2:59:59,7a4ad7f0-70e5-8423-1687-4e44c97f349e,2020. 07. 12. 오후 3:03:38,19.000000,1,0.000000,
2020. 07. 12. 오후 4:08:25,com.sec.android.app.shealth,32400000,a1b700a6-053f-fd7f-2135-6145a2faa289.binning_data,100.000000,2020. 07. 12. 오후 3:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 12. 오후 3:59:59,a1b700a6-053f-fd7f-2135-6145a2faa289,2020. 07. 12. 오후 4:08:25,14.000000,1,0.000000,
2020. 07. 12. 오후 5:01:29,com.sec.android.app.shealth,32400000,3ad897d1-2d2e-b060-8e9f-da4cf5e20eb4.binning_data,100.000000,2020. 07. 12. 오후 4:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 12. 오후 4:59:59,3ad897d1-2d2e-b060-8e9f-da4cf5e20eb4,2020. 07. 12. 오후 5:01:29,3.000000,1,0.000000,
2020. 07. 12. 오후 6:07:28,com.sec.android.app.shealth,32400000,54b65ef7-c0e5-9d8e-c304-0c946a6e79f6.binning_data,100.000000,2020. 07. 12. 오후 5:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 12. 오후 5:59:59,54b65ef7-c0e5-9d8e-c304-0c946a6e79f6,2020. 07. 12. 오후 6:07:28,9.000000,1,0.000000,
2020. 07. 12. 오후 7:01:33,com.sec.android.app.shealth,32400000,3ee7f051-a2ca-8937-b865-57a2d266df76.binning_data,100.000000,2020. 07. 12. 오후 6:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 12. 오후 6:59:59,3ee7f051-a2ca-8937-b865-57a2d266df76,2020. 07. 12. 오후 7:01:33,16.000000,1,0.000000,
2020. 07. 12. 오후 11:27:59,com.sec.android.app.shealth,32400000,1f462658-0a0c-08a8-5976-c2cdb78d0468.binning_data,96.000000,2020. 07. 12. 오후 7:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 12. 오후 7:59:59,1f462658-0a0c-08a8-5976-c2cdb78d0468,2020. 07. 12. 오후 11:27:59,37.000000,1,0.000000,
2020. 07. 13. 오전 12:01:32,com.sec.android.app.shealth,32400000,2751f315-87f4-16d9-8d85-740e3a533f3c.binning_data,100.000000,2020. 07. 12. 오후 11:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 12. 오후 11:59:59,2751f315-87f4-16d9-8d85-740e3a533f3c,2020. 07. 13. 오전 12:01:32,22.000000,1,0.000000,
2020. 07. 13. 오전 1:01:47,com.sec.android.app.shealth,32400000,eb4520b4-70d5-be0c-4073-d389f451b76c.binning_data,15.000000,2020. 07. 13. 오전 12:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오전 12:59:59,eb4520b4-70d5-be0c-4073-d389f451b76c,2020. 07. 13. 오전 1:01:47,0.000000,1,0.000000,
2020. 07. 13. 오전 2:10:18,com.sec.android.app.shealth,32400000,9be3397e-476c-f8b9-2cb1-0b3e695bd315.binning_data,100.000000,2020. 07. 13. 오전 1:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오전 1:59:59,9be3397e-476c-f8b9-2cb1-0b3e695bd315,2020. 07. 13. 오전 2:10:18,7.000000,1,0.000000,
2020. 07. 13. 오전 3:10:34,com.sec.android.app.shealth,32400000,4b1d3c91-1530-bf06-016b-6f4b79233a28.binning_data,0.000000,2020. 07. 13. 오전 2:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오전 2:59:59,4b1d3c91-1530-bf06-016b-6f4b79233a28,2020. 07. 13. 오전 3:10:34,0.000000,1,0.000000,
2020. 07. 13. 오전 8:06:39,com.sec.android.app.shealth,32400000,95af234f-afa2-a670-05a3-d7de20793432.binning_data,100.000000,2020. 07. 13. 오전 7:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오전 7:59:59,95af234f-afa2-a670-05a3-d7de20793432,2020. 07. 13. 오전 8:06:39,43.000000,1,0.000000,
2020. 07. 13. 오전 9:04:45,com.sec.android.app.shealth,32400000,384b6154-3a08-4e50-ac43-4cee8ddb5a85.binning_data,100.000000,2020. 07. 13. 오전 8:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오전 8:59:59,384b6154-3a08-4e50-ac43-4cee8ddb5a85,2020. 07. 13. 오전 9:04:45,66.000000,1,8.000000,
2020. 07. 13. 오전 10:04:29,com.sec.android.app.shealth,32400000,588eb7fd-402b-4441-add6-c6149c0bf82d.binning_data,99.000000,2020. 07. 13. 오전 9:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오전 9:59:59,588eb7fd-402b-4441-add6-c6149c0bf82d,2020. 07. 13. 오전 10:04:29,65.000000,1,15.000000,
2020. 07. 13. 오전 11:04:20,com.sec.android.app.shealth,32400000,b93981b6-ddfd-1dc3-cd08-2cae5745c44a.binning_data,100.000000,2020. 07. 13. 오전 10:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오전 10:59:59,b93981b6-ddfd-1dc3-cd08-2cae5745c44a,2020. 07. 13. 오전 11:04:20,42.000000,1,0.000000,
2020. 07. 13. 오후 12:05:37,com.sec.android.app.shealth,32400000,3b9a9372-e9c3-973c-77d6-de7f6e6b29f1.binning_data,99.000000,2020. 07. 13. 오전 11:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오전 11:59:59,3b9a9372-e9c3-973c-77d6-de7f6e6b29f1,2020. 07. 13. 오후 12:05:37,34.000000,1,0.000000,
2020. 07. 13. 오후 1:04:45,com.sec.android.app.shealth,32400000,71578610-ff3e-b672-fe50-747d611bb85e.binning_data,99.000000,2020. 07. 13. 오후 12:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 12:59:59,71578610-ff3e-b672-fe50-747d611bb85e,2020. 07. 13. 오후 1:04:45,26.000000,1,0.000000,
2020. 07. 13. 오후 2:09:07,com.sec.android.app.shealth,32400000,adf1d9b3-b556-5a29-1f71-b3e274c5fb00.binning_data,97.000000,2020. 07. 13. 오후 1:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 1:59:59,adf1d9b3-b556-5a29-1f71-b3e274c5fb00,2020. 07. 13. 오후 2:09:07,29.000000,1,0.000000,
2020. 07. 13. 오후 3:04:09,com.sec.android.app.shealth,32400000,f4cb4397-19ee-a5dc-0c42-303cf22b6771.binning_data,100.000000,2020. 07. 13. 오후 2:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 2:59:59,f4cb4397-19ee-a5dc-0c42-303cf22b6771,2020. 07. 13. 오후 3:04:09,55.000000,1,0.000000,
