com.samsung.health.sleep_stage,1140029,6
end_time,custom,pkg_name,sleep_id,update_time,start_time,datauuid,time_offset,create_time,deviceuuid,stage
2020. 07. 08. 오전 4:17:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:16:00,1aacf9d1-4686-7c6f-3b11-24412d5f5bb7,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 4:20:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:17:00,5fb17700-1917-9eb4-d5fc-47f028b5993e,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 4:23:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:20:00,f01c5f99-7307-6826-9b84-6e4f956a4a25,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 4:26:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:23:00,b3be4080-6e35-8154-011f-5416c23ce6ef,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 4:27:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:26:00,528ccb55-ded0-826f-0bef-6500b746d401,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 4:34:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:27:00,0decaf3c-373e-d735-0dc8-929758074118,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40004,
2020. 07. 08. 오전 4:36:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:34:00,d7d71189-31a9-2ca4-80fc-b3225c4c91bd,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 4:37:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:36:00,bd1d19e1-9323-fe97-5248-173ee6e9d7a0,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 4:45:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:37:00,f62deb1a-d86b-117d-bfee-0c30404822cd,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 4:46:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:45:00,f8361df6-cb17-3fda-8fbb-53d8f8e39f9b,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 4:47:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:46:00,a27a6b8b-24c1-309c-1ca5-8a543104bccd,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 4:53:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:47:00,1b917df7-6b95-9484-4cf2-10bf2bfefc2f,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40004,
2020. 07. 08. 오전 4:56:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:53:00,ffc7b5c0-dc96-47e6-5724-328f57ec625c,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 5:41:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 4:56:00,8265e958-8ef7-ebf3-26a2-d810c40432bf,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 5:42:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 5:41:00,f07e79e5-297c-bde9-71b6-f137937eb6e6,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 5:44:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 5:42:00,819512a4-700f-de4d-4be5-291d67f015ad,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 5:49:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 5:44:00,173142ea-d08e-45b6-1368-2253063e4bc5,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40004,
2020. 07. 08. 오전 5:50:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 5:49:00,b6daac5a-d123-6119-142d-911add6fcaf7,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 5:57:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 5:50:00,eb1e8df9-7ad6-7ae8-8981-07122793cf8d,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40004,
2020. 07. 08. 오전 5:58:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 5:57:00,ea5e59a7-25fc-1a87-6ac8-3fab742211d1,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 6:02:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 5:58:00,2581ca95-ed20-22b0-5d91-b6fa237d4055,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 6:04:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:02:00,0bbb5559-6b41-39fa-454a-9db38bd0ed7d,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 6:06:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:04:00,ca52db4c-fffa-3da3-8e29-565acd6fd13d,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 6:07:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:06:00,5ec6fabb-3480-09c5-85d6-d470fec08998,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 6:09:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:07:00,2d1f8466-6847-b4c6-dbfd-5f1cf8f7e764,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 6:10:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:09:00,3f89f1ef-04fa-f2d6-7b5e-d161f5ade53b,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
