com.samsung.health.step_count,1140029,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
1.638889,com.sec.android.app.shealth,11,230002,32400000,2020. 07. 07. 오후 7:29:00,0.360000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:29:59,328e4e1f-47d6-8f4c-2932-d28120e400e6,8.780000,2020. 07. 07. 오후 7:29:26,2020. 07. 07. 오후 7:29:26,
2.166667,com.sec.android.app.shealth,14,230002,32400000,2020. 07. 07. 오후 7:32:00,0.540000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:32:59,b448d2e4-5ce0-72e2-c4a5-fcbe608ab2ec,11.900000,2020. 07. 07. 오후 7:33:21,2020. 07. 07. 오후 7:33:21,
2.666667,com.sec.android.app.shealth,44,230002,32400000,2020. 07. 07. 오후 7:51:00,2.140000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:51:59,add2e5ab-1065-6fb3-7fb6-fd62e08c1f8a,38.870000,2020. 07. 07. 오후 7:52:29,2020. 07. 07. 오후 7:52:29,
1.920739,com.sec.android.app.shealth,76,230002,32400000,2020. 07. 07. 오후 7:52:00,3.130000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:52:59,361c693f-7ec3-23f6-ea49-4c975bf18ab1,62.950000,2020. 07. 07. 오후 7:52:29,2020. 07. 07. 오후 7:53:11,
2.750000,com.sec.android.app.shealth,50,230002,32400000,2020. 07. 07. 오후 7:53:00,2.980000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:53:59,68b60c58-5d64-2c28-1850-c34e5b3a1e69,45.900000,2020. 07. 07. 오후 7:54:10,2020. 07. 07. 오후 7:54:10,
1.876109,com.sec.android.app.shealth,125,230002,32400000,2020. 07. 07. 오후 7:54:00,5.340000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:54:59,a2eb89d5-afc4-207b-9c46-05108175d40d,100.770000,2020. 07. 07. 오후 7:54:10,2020. 07. 07. 오후 7:55:00,
1.530272,com.sec.android.app.shealth,80,230002,32400000,2020. 07. 07. 오후 7:55:00,2.660000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:55:59,f198e03d-5247-866c-c76e-a6a1268ab231,51.210000,2020. 07. 07. 오후 7:55:02,2020. 07. 07. 오후 7:56:05,
1.608686,com.sec.android.app.shealth,106,230002,32400000,2020. 07. 07. 오후 7:56:00,3.680000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:56:59,55b71887-b883-ab8e-7019-19ee8409bdf7,69.290000,2020. 07. 07. 오후 7:56:05,2020. 07. 07. 오후 7:57:37,
1.564656,com.sec.android.app.shealth,117,230002,32400000,2020. 07. 07. 오후 7:57:00,3.820000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:57:59,289560dd-5608-08a9-4cc5-ecfa3c882c56,75.010000,2020. 07. 07. 오후 7:57:37,2020. 07. 07. 오후 8:05:25,
2.777778,com.sec.android.app.shealth,134,230002,32400000,2020. 07. 07. 오후 7:58:00,9.380000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:58:59,8ddc691c-7377-aee8-14c6-639b5b731617,127.150000,2020. 07. 07. 오후 8:05:25,2020. 07. 07. 오후 8:05:25,
2.027778,com.sec.android.app.shealth,93,230002,32400000,2020. 07. 07. 오후 7:59:00,4.170000,Eb+lTn/Fs+,,2020. 07. 07. 오후 7:59:59,110378ca-4e7f-4267-be9a-74d24d69f75f,77.860000,2020. 07. 07. 오후 8:05:25,2020. 07. 07. 오후 8:05:25,
0.343612,com.sec.android.app.shealth,21,,32400000,2020. 07. 07. 오후 8:06:00,1.265280,sb+tNhfKEH,,2020. 07. 07. 오후 8:07:00,15941199-0000-0000-0000-941199600000,14.530000,2020. 07. 07. 오후 8:06:52,2020. 07. 07. 오후 8:06:52,
0.272766,com.sec.android.app.shealth,9,,32400000,2020. 07. 07. 오후 8:07:00,0.389525,sb+tNhfKEH,,2020. 07. 07. 오후 8:08:00,15941200-0000-0000-0000-941200200000,3.870000,2020. 07. 07. 오후 8:07:36,2020. 07. 07. 오후 8:07:36,
0.750566,com.sec.android.app.shealth,27,,32400000,2020. 07. 07. 오후 8:08:00,0.780331,sb+tNhfKEH,,2020. 07. 07. 오후 8:09:00,15941200-0000-0000-0000-941200800000,13.893272,2020. 07. 07. 오후 8:08:19,2020. 07. 07. 오후 8:08:19,
0.732372,com.sec.android.app.shealth,21,,32400000,2020. 07. 07. 오후 8:09:00,0.555886,sb+tNhfKEH,,2020. 07. 07. 오후 8:10:00,15941201-0000-0000-0000-941201400000,10.131367,2020. 07. 07. 오후 8:10:01,2020. 07. 07. 오후 8:10:01,
0.575404,com.sec.android.app.shealth,1,,32400000,2020. 07. 07. 오후 8:10:00,0.000000,sb+tNhfKEH,,2020. 07. 07. 오후 8:11:00,15941202-0000-0000-0000-941202000000,0.008633,2020. 07. 07. 오후 8:10:02,2020. 07. 07. 오후 8:10:02,
0.625468,com.sec.android.app.shealth,24,,32400000,2020. 07. 07. 오후 8:11:00,1.060723,sb+tNhfKEH,,2020. 07. 07. 오후 8:12:00,15941202-0000-0000-0000-941202600000,16.920000,2020. 07. 07. 오후 8:11:57,2020. 07. 07. 오후 8:11:57,
0.164829,com.sec.android.app.shealth,2,,32400000,2020. 07. 07. 오후 8:12:00,0.194522,sb+tNhfKEH,,2020. 07. 07. 오후 8:13:00,15941203-0000-0000-0000-941203200000,1.380000,2020. 07. 07. 오후 8:12:09,2020. 07. 07. 오후 8:12:09,
1.014704,com.sec.android.app.shealth,8,,32400000,2020. 07. 07. 오후 8:13:00,0.259681,sb+tNhfKEH,,2020. 07. 07. 오후 8:14:00,15941203-0000-0000-0000-941203800000,5.840000,2020. 07. 07. 오후 8:13:39,2020. 07. 07. 오후 8:13:39,
1.215811,com.sec.android.app.shealth,53,,32400000,2020. 07. 07. 오후 8:28:00,2.046527,sb+tNhfKEH,,2020. 07. 07. 오후 8:29:00,15941212-0000-0000-0000-941212800000,43.414009,2020. 07. 07. 오후 8:29:02,2020. 07. 07. 오후 8:29:02,
2.611340,com.sec.android.app.shealth,151,,32400000,2020. 07. 07. 오후 8:29:00,11.133031,sb+tNhfKEH,,2020. 07. 07. 오후 8:30:00,15941213-0000-0000-0000-941213400000,156.328903,2020. 07. 07. 오후 8:30:01,2020. 07. 07. 오후 8:30:01,
1.895151,com.sec.android.app.shealth,118,,32400000,2020. 07. 07. 오후 8:30:00,4.269188,sb+tNhfKEH,,2020. 07. 07. 오후 8:31:00,15941214-0000-0000-0000-941214000000,101.381287,2020. 07. 07. 오후 8:30:55,2020. 07. 07. 오후 8:30:55,
0.929736,com.sec.android.app.shealth,77,,32400000,2020. 07. 07. 오후 8:31:00,2.950485,sb+tNhfKEH,,2020. 07. 07. 오후 8:32:00,15941214-0000-0000-0000-941214600000,56.194595,2020. 07. 07. 오후 8:32:01,2020. 07. 07. 오후 8:32:01,
1.054447,com.sec.android.app.shealth,68,,32400000,2020. 07. 07. 오후 8:32:00,2.448481,sb+tNhfKEH,,2020. 07. 07. 오후 8:33:00,15941215-0000-0000-0000-941215200000,48.955406,2020. 07. 07. 오후 8:32:55,2020. 07. 07. 오후 8:32:55,
1.097242,com.sec.android.app.shealth,12,,32400000,2020. 07. 07. 오후 8:36:00,0.436950,sb+tNhfKEH,,2020. 07. 07. 오후 8:37:00,15941217-0000-0000-0000-941217600000,8.880000,2020. 07. 07. 오후 8:36:56,2020. 07. 07. 오후 8:36:56,
0.253836,com.sec.android.app.shealth,2,,32400000,2020. 07. 07. 오후 8:37:00,0.108832,sb+tNhfKEH,,2020. 07. 07. 오후 8:38:00,15941218-0000-0000-0000-941218200000,1.097238,2020. 07. 07. 오후 8:37:03,2020. 07. 07. 오후 8:37:03,
