com.samsung.health.floors_climbed,1140029,5
end_time,floor,pkg_name,custom,update_time,start_time,datauuid,time_offset,create_time,deviceuuid
2020. 07. 09. 오후 12:51:00,1.000000,com.sec.android.app.shealth,,2020. 07. 09. 오후 12:52:32,2020. 07. 09. 오후 12:50:37,eb9960b9-27ff-ec78-e3ac-85544c753c57,32400000,2020. 07. 09. 오후 12:52:32,Eb+lTn/Fs+,
2020. 07. 09. 오후 2:42:40,1.000000,com.sec.android.app.shealth,,2020. 07. 09. 오후 2:43:07,2020. 07. 09. 오후 2:42:16,fb683ef0-228d-a674-4fab-08e9eb641100,32400000,2020. 07. 09. 오후 2:43:07,Eb+lTn/Fs+,
2020. 07. 09. 오후 5:20:21,1.000000,com.sec.android.app.shealth,,2020. 07. 09. 오후 5:30:51,2020. 07. 09. 오후 5:20:01,c148a4ce-d323-d59e-9791-cee10e17e8ec,32400000,2020. 07. 09. 오후 5:30:51,Eb+lTn/Fs+,
2020. 07. 09. 오후 10:35:38,1.000000,com.sec.android.app.shealth,,2020. 07. 09. 오후 10:39:39,2020. 07. 09. 오후 10:35:23,6bac887d-a39f-8c62-e53a-4941e7107b90,32400000,2020. 07. 09. 오후 10:39:39,Eb+lTn/Fs+,
2020. 07. 10. 오전 7:59:40,1.000000,com.sec.android.app.shealth,,2020. 07. 10. 오전 8:01:55,2020. 07. 10. 오전 7:59:22,329ddfc3-504d-8d99-d477-4b3fd3ec3c90,32400000,2020. 07. 10. 오전 8:01:55,Eb+lTn/Fs+,
2020. 07. 10. 오전 8:22:23,3.000000,com.sec.android.app.shealth,,2020. 07. 10. 오전 8:23:32,2020. 07. 10. 오전 8:21:15,9a317277-a97b-2b0d-74cf-c787f9bce2c8,32400000,2020. 07. 10. 오전 8:23:32,Eb+lTn/Fs+,
2020. 07. 10. 오전 9:05:24,2.000000,com.sec.android.app.shealth,,2020. 07. 10. 오전 9:17:14,2020. 07. 10. 오전 9:04:53,07c11853-7616-cf8f-aadf-e802b6a6d2d0,32400000,2020. 07. 10. 오전 9:17:14,Eb+lTn/Fs+,
2020. 07. 10. 오전 9:09:46,2.000000,com.sec.android.app.shealth,,2020. 07. 10. 오전 9:17:14,2020. 07. 10. 오전 9:08:34,20df016f-9dee-528f-464f-9d7c23eb44c2,32400000,2020. 07. 10. 오전 9:17:14,Eb+lTn/Fs+,
2020. 07. 10. 오전 9:14:17,2.000000,com.sec.android.app.shealth,,2020. 07. 10. 오전 9:17:14,2020. 07. 10. 오전 9:13:30,48649872-d845-ed15-56a6-5decdd86427d,32400000,2020. 07. 10. 오전 9:17:14,Eb+lTn/Fs+,
2020. 07. 10. 오전 9:16:25,1.000000,com.sec.android.app.shealth,,2020. 07. 10. 오전 9:17:14,2020. 07. 10. 오전 9:16:09,bb32bf03-184a-c006-c439-166360e8c70c,32400000,2020. 07. 10. 오전 9:17:14,Eb+lTn/Fs+,
2020. 07. 10. 오후 1:22:30,1.000000,com.sec.android.app.shealth,,2020. 07. 10. 오후 1:22:30,2020. 07. 10. 오후 1:22:30,bd7e0ef9-4c49-c6eb-f0cb-cd634ca4dd06,32400000,2020. 07. 10. 오후 1:22:30,Eb+lTn/Fs+,
2020. 07. 10. 오후 4:03:55,1.000000,com.sec.android.app.shealth,,2020. 07. 10. 오후 4:04:13,2020. 07. 10. 오후 4:03:41,b11dc344-a15e-aa1a-5a49-a7d01d40ab42,32400000,2020. 07. 10. 오후 4:04:13,Eb+lTn/Fs+,
2020. 07. 10. 오후 8:01:29,1.000000,com.sec.android.app.shealth,,2020. 07. 10. 오후 8:01:40,2020. 07. 10. 오후 8:00:58,39eba360-eaac-e82c-fbe2-e1d4b2f5fced,32400000,2020. 07. 10. 오후 8:01:40,Eb+lTn/Fs+,
2020. 07. 10. 오후 7:45:40,6.000000,com.sec.android.app.shealth,,2020. 07. 10. 오후 7:51:05,2020. 07. 10. 오후 7:44:22,7146ffb4-fff8-5b06-d429-ef0c590ca241,32400000,2020. 07. 10. 오후 7:51:04,Eb+lTn/Fs+,
2020. 07. 10. 오후 7:47:45,2.000000,com.sec.android.app.shealth,,2020. 07. 10. 오후 7:51:05,2020. 07. 10. 오후 7:47:05,0e265de3-60f6-df08-f9d8-5291f59d7ad7,32400000,2020. 07. 10. 오후 7:51:05,Eb+lTn/Fs+,
2020. 07. 10. 오후 8:05:03,1.000000,com.sec.android.app.shealth,,2020. 07. 10. 오후 8:05:30,2020. 07. 10. 오후 8:04:47,5afedd20-c616-8182-6011-82f788b9b15f,32400000,2020. 07. 10. 오후 8:05:30,Eb+lTn/Fs+,
2020. 07. 12. 오후 2:32:07,1.000000,com.sec.android.app.shealth,,2020. 07. 12. 오후 2:32:16,2020. 07. 12. 오후 2:31:52,6793bc73-0648-1e07-7599-37500d6d8764,32400000,2020. 07. 12. 오후 2:32:16,Eb+lTn/Fs+,
