com.samsung.shealth.rewards,6105031,4
is_visible,create_time,time_offset,program_id,end_time,device_type,title,exercise_type,exercise_session_id,deviceuuid,start_time,pkg_name,update_time,number_of_streak,datauuid,extra_data,controller_id,source_pkg_name
0,2019-09-28 05:40:00.204,UTC+0900,,2019-09-28 05:40:00.162,,goal_activity_reward_goal_achieved,,,CHxXcBbd2u,2019-09-28 05:40:00.162,com.sec.android.app.shealth,2019-09-29 08:51:22.243,,8ef91a18-c0f3-40e0-81b5-89a814a306ae,"{""mIsCompleted"":false,""mValue"":204,""mValue2"":60}",goal.activity,,
1,2019-09-27 07:21:57.304,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-27 07:21:57.304,,f1fa2521-9e5c-47c7-b6ad-e6ec502a25ae,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 11:06:27.840,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 11:06:27.840,,5f2f58d1-2481-4c2a-a2fd-15d2f4bb1a5f,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-27 10:13:17.380,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-27 10:13:17.380,,065f6f1c-8122-416f-83d0-ec84da79d4fe,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-28 09:41:10.526,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-28 09:41:10.526,,caa25e4d-a4f6-41c0-a9c4-5a88db6a23cc,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-28 01:39:06.972,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-28 01:39:06.972,,01e6f02b-a3e7-4288-98e3-96347bf079bb,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 12:56:48.395,UTC+0900,,2019-09-26 15:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,CHxXcBbd2u,2019-09-26 15:00:00.000,com.sec.android.app.shealth,2019-10-02 15:01:12.192,,85a8c6c8-9a5b-4c3c-8f64-58e7a78226c0,"{""mTarget"":6000,""mValue"":7551}",tracker.pedometer,,
1,2019-09-27 09:27:12.712,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-27 09:27:12.712,,8b3cb419-8be9-4cae-b857-a46b4f356107,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-10-01 12:03:00.229,UTC+0900,,2019-09-21 15:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:01.755,,087bfb49-94ae-45cd-85de-2774e0e3ec25,"{""mTarget"":6000,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 14:00:01.254,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 14:00:01.254,,ba0537af-c667-46bc-8885-87f3f65107c9,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-28 07:38:11.924,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-28 07:38:11.924,,c4752811-99cc-4861-a569-6a54fb4a6974,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 03:52:04.588,UTC+0900,,2019-09-24 15:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,CHxXcBbd2u,2019-09-24 15:00:00.000,com.sec.android.app.shealth,2019-09-30 06:25:34.332,,9ce0b461-7a05-4d28-a796-f40c1e2de8a3,"{""mTarget"":6000,""mValue"":13973}",tracker.pedometer,,
1,2019-09-27 09:16:28.292,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 09:16:28.292,,96ca75bb-606d-4d9c-92a7-4bc900d4b0ab,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-10-01 12:03:00.231,UTC+0900,,2019-09-28 15:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,CHxXcBbd2u,2019-09-28 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:02.135,,0405708d-22fd-4b3f-80b2-5bb6c741ea6b,"{""mTarget"":6000,""mValue"":7108}",tracker.pedometer,,
1,2019-09-27 11:42:53.972,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 11:42:53.972,,8eef594d-6649-4bb4-a82b-dbbc342c59d4,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-27 04:09:01.423,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-27 04:09:01.423,,bdb9b141-c113-4a7d-8e95-b06f4ca0cbb3,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
