com.samsung.shealth.step_daily_trend,6105031,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2019-10-01 12:02:59.958,5578.75,7108,-2,1569715200000,1.5996064,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-01 12:02:59.958,81480f24-5e63-4d85-9781-74ab4624de5f.binning_data.json,81480f24-5e63-4d85-9781-74ab4624de5f,232.28998,com.sec.android.app.shealth,
2019-10-07 15:00:01.077,10056.56,14136,0,1570406400000,2.0555553,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-07 15:00:01.077,357786e5-4693-4978-887e-0f5a00038d69.binning_data.json,357786e5-4693-4978-887e-0f5a00038d69,512.42,com.sec.android.app.shealth,
2019-10-01 12:02:59.959,7487.5303,9863,-2,1569888000000,1.6823878,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-01 14:52:15.275,55750b8f-aabd-4e56-af73-31ffcc62bd33.binning_data.json,55750b8f-aabd-4e56-af73-31ffcc62bd33,347.68997,com.sec.android.app.shealth,
2019-10-07 23:07:42.190,3416.0503,4675,-2,1570492800000,1.6082796,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-08 07:16:22.970,e964f475-4595-4332-ad7e-8af0af3fa912.binning_data.json,e964f475-4595-4332-ad7e-8af0af3fa912,168.96997,com.sec.android.app.shealth,
2019-10-01 12:02:59.958,10270.171,14121,-2,1569801600000,1.6656492,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-01 12:02:59.958,f9fe6049-b502-4342-9a71-5416b78f9244.binning_data.json,f9fe6049-b502-4342-9a71-5416b78f9244,525.00995,com.sec.android.app.shealth,
2019-10-03 16:01:50.593,10597.61,14188,-2,1570147200000,1.555048,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-04 14:35:36.661,58be387e-9b75-4f42-8066-57f85e88dc3b.binning_data.json,58be387e-9b75-4f42-8066-57f85e88dc3b,504.23993,com.sec.android.app.shealth,
2019-10-03 15:00:01.751,3746.8406,4690,0,1570060800000,4.638889,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-03 15:00:01.751,cb3002bc-dcb2-4916-b10e-b7410811d7b6.binning_data.json,cb3002bc-dcb2-4916-b10e-b7410811d7b6,167.28996,com.sec.android.app.shealth,
2019-10-11 02:13:47.120,9019.569,12590,-2,1570752000000,1.5485002,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-11 14:58:13.011,66d3ca48-73ac-4fc4-bd32-5025bb1c4ed9.binning_data.json,66d3ca48-73ac-4fc4-bd32-5025bb1c4ed9,457.41995,com.sec.android.app.shealth,
2019-10-06 15:00:01.323,6610.6206,8611,0,1570320000000,3.3888888,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-06 15:00:01.323,13d4400a-a816-4816-a431-35ca5c7d5f94.binning_data.json,13d4400a-a816-4816-a431-35ca5c7d5f94,292.03992,com.sec.android.app.shealth,
2019-10-07 01:05:52.076,10056.56,14136,-2,1570406400000,1.5970753,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-07 13:13:29.986,0b7d7931-2791-4eaa-937a-4e972c9a751e.binning_data.json,0b7d7931-2791-4eaa-937a-4e972c9a751e,512.42,com.sec.android.app.shealth,
2019-10-13 16:15:10.347,11427.801,15798,-2,1571011200000,1.6210799,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-14 14:36:08.570,b1873459-e700-4119-9d13-382927ab8d5b.binning_data.json,b1873459-e700-4119-9d13-382927ab8d5b,563.07996,com.sec.android.app.shealth,
2019-10-09 15:00:01.215,6200.31,8077,0,1570579200000,3.3441873,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-09 15:00:01.215,4d003475-891d-4f20-b7a4-dd8ea90eb14e.binning_data.json,4d003475-891d-4f20-b7a4-dd8ea90eb14e,264.25998,com.sec.android.app.shealth,
2019-10-10 01:02:38.252,5732.48,8327,-2,1570665600000,1.6688583,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-10 14:25:44.922,4a46c105-2742-45c2-92d7-8d63e91a79cd.binning_data.json,4a46c105-2742-45c2-92d7-8d63e91a79cd,316.44998,com.sec.android.app.shealth,
2019-10-16 23:37:41.422,9827.04,13613,-2,1571270400000,1.574004,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-17 12:36:05.065,c4862976-90f3-4209-8dd3-aef3d3d1d021.binning_data.json,c4862976-90f3-4209-8dd3-aef3d3d1d021,489.80994,com.sec.android.app.shealth,
2019-10-10 15:00:00.846,5732.48,8327,0,1570665600000,2.5555558,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-10 15:00:00.846,dc157504-1c58-4795-b713-810fd8ed2cad.binning_data.json,dc157504-1c58-4795-b713-810fd8ed2cad,316.44998,com.sec.android.app.shealth,
2019-10-12 15:17:18.093,10268.21,13263,0,1570838400000,3.8240001,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-12 15:17:18.093,c11bb3b3-07ac-4e99-a570-703002d00c45.binning_data.json,c11bb3b3-07ac-4e99-a570-703002d00c45,454.07996,com.sec.android.app.shealth,
2019-10-12 22:28:49.274,8015.1006,10303,-2,1570924800000,1.6143279,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-13 13:06:22.953,a251d7a0-6246-491a-927a-7d250cf899f1.binning_data.json,a251d7a0-6246-491a-927a-7d250cf899f1,341.42996,com.sec.android.app.shealth,
2019-10-19 15:24:06.302,5037.27,6290,-2,1571529600000,1.7488227,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-20 10:34:32.153,4cb35288-f6e2-4d4e-ba99-4e7a6d087da4.binning_data.json,4cb35288-f6e2-4d4e-ba99-4e7a6d087da4,221.70999,com.sec.android.app.shealth,
2019-10-02 23:53:16.564,3746.8406,4690,-2,1570060800000,1.676672,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-03 04:32:50.889,14672b5a-d030-4430-b9ed-29568026e410.binning_data.json,14672b5a-d030-4430-b9ed-29568026e410,167.28996,com.sec.android.app.shealth,
2019-10-16 00:39:18.493,8101.7104,10406,-2,1571184000000,1.6127249,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-16 14:52:43.074,81c901f0-438e-4a55-9cb9-4ef6972d79eb.binning_data.json,81c901f0-438e-4a55-9cb9-4ef6972d79eb,342.27994,com.sec.android.app.shealth,
2019-10-15 15:00:03.155,11988.95,15516,0,1571097600000,3.4166667,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-15 15:00:03.155,2b46fc6d-afa4-4a9d-bc83-150aa2ff8934.binning_data.json,2b46fc6d-afa4-4a9d-bc83-150aa2ff8934,529.31995,com.sec.android.app.shealth,
2019-10-22 17:07:30.189,6795.68,9237,-2,1571788800000,1.6706417,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-23 13:26:10.900,acbcd95d-307b-415d-9198-5d8b44b7d662.binning_data.json,acbcd95d-307b-415d-9198-5d8b44b7d662,330.47998,com.sec.android.app.shealth,
2019-10-25 16:15:05.678,11833.07,15191,-2,1572048000000,1.6291217,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-26 13:36:19.778,0d57725f-b2ae-4c81-8d74-f587c1fd770f.binning_data.json,0d57725f-b2ae-4c81-8d74-f587c1fd770f,505.24994,com.sec.android.app.shealth,
2019-10-18 15:00:01.607,7897.95,10868,0,1571356800000,2.612452,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-18 15:00:01.607,d2af0287-0d22-4242-a6a2-f93da5d6edd0.binning_data.json,d2af0287-0d22-4242-a6a2-f93da5d6edd0,393.74997,com.sec.android.app.shealth,
2019-10-19 00:17:14.383,11711.461,15037,-2,1571443200000,1.6071292,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-19 14:35:01.142,0bceb249-cd4e-4928-ba9d-91eb91295e31.binning_data.json,0bceb249-cd4e-4928-ba9d-91eb91295e31,497.22992,com.sec.android.app.shealth,
2019-10-21 15:00:05.228,11306.89,15928,0,1571616000000,2.4517405,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-21 15:00:05.228,16d21edc-02f7-418a-850e-a7abe6a859e1.binning_data.json,16d21edc-02f7-418a-850e-a7abe6a859e1,578.48,com.sec.android.app.shealth,
2019-10-29 01:43:49.567,3927.1401,5189,-2,1572307200000,1.6534634,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-29 08:55:04.851,b3ba15b2-dd83-4393-9745-f766d9afa715.binning_data.json,b3ba15b2-dd83-4393-9745-f766d9afa715,179.84,com.sec.android.app.shealth,
