com.samsung.shealth.social.leaderboard,6105031,1
pkg_name,update_time,create_time,datauuid,my_value,last_sync_time,body,type,deviceuuid
com.sec.android.app.shealth,2020-07-12 06:23:37.141,2020-07-08 08:30:49.962,2d0d22da-8d80-4fe8-a943-0c9d06aea902,1,1594535016976,2d0d22da-8d80-4fe8-a943-0c9d06aea902.body.json,200,CHxXcBbd2u,
com.sec.android.app.shealth,2020-07-12 06:23:36.950,2020-07-08 08:30:50.789,42752d59-a995-412e-b056-e8f69734488a,6,1594535016841,42752d59-a995-412e-b056-e8f69734488a.body.json,101,CHxXcBbd2u,
com.sec.android.app.shealth,2020-07-12 06:23:36.902,2020-07-08 08:30:50.741,4b365a9b-18a9-4fa5-949e-b468110a340c,5,1594535016837,4b365a9b-18a9-4fa5-949e-b468110a340c.body.json,102,CHxXcBbd2u,
