com.samsung.shealth.report,6105031,3
pkg_name,update_time,create_time,datauuid,timezone,type,version,compressed_content,is_empty,content,start_date,deviceuuid
com.sec.android.app.shealth,2020-02-02 04:28:47.505,2020-02-02 04:28:46.237,07ea7847-4229-4fc1-8b38-6cb6302ce273,Asia/Seoul,0,2,07ea7847-4229-4fc1-8b38-6cb6302ce273.compressed_content.json,0,X,1579964400000,CHxXcBbd2u,
com.sec.android.app.shealth,2019-12-08 04:28:35.076,2019-12-08 04:28:33.536,05496d10-7080-45ea-9f57-f5d5a9763122,Asia/Seoul,0,2,05496d10-7080-45ea-9f57-f5d5a9763122.compressed_content.json,0,X,1575126000000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-01-05 04:28:38.656,2020-01-05 04:28:37.164,f8f7af11-6be2-485e-88b0-68150e49848a,Asia/Seoul,0,2,f8f7af11-6be2-485e-88b0-68150e49848a.compressed_content.json,0,X,1577545200000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-03-15 04:30:35.880,2020-03-15 04:30:34.522,26029e65-ea54-4b3f-a85c-b8d45040de95,Asia/Seoul,0,2,26029e65-ea54-4b3f-a85c-b8d45040de95.compressed_content.json,0,X,1583593200000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-01-19 04:29:51.907,2020-01-19 04:29:50.993,a4a5fb5f-6988-43bd-a299-a445c3d63ae3,Asia/Seoul,0,2,a4a5fb5f-6988-43bd-a299-a445c3d63ae3.compressed_content.json,0,X,1578754800000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-02-16 05:31:58.072,2020-02-16 05:31:55.056,ca58a7ba-146e-479b-9f1e-13be34bc09d3,Asia/Seoul,0,2,ca58a7ba-146e-479b-9f1e-13be34bc09d3.compressed_content.json,0,X,1581174000000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-03-01 04:28:31.026,2020-03-01 04:28:29.235,ec3735a6-70ac-4fb7-9084-b804905ad882,Asia/Seoul,0,2,ec3735a6-70ac-4fb7-9084-b804905ad882.compressed_content.json,0,X,1582383600000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-04-26 04:28:49.865,2020-04-26 04:28:45.760,c962ddc7-9cc2-44b5-9aeb-8ebd0391e942,Asia/Seoul,0,2,c962ddc7-9cc2-44b5-9aeb-8ebd0391e942.compressed_content.json,0,X,1587222000000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-03-29 04:28:31.112,2020-03-29 04:28:29.526,3ce9a38b-5b02-445d-a954-32b6d5755eae,Asia/Seoul,0,2,3ce9a38b-5b02-445d-a954-32b6d5755eae.compressed_content.json,0,X,1584802800000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-04-12 04:29:03.113,2020-04-12 04:29:01.125,8a679e8e-8b1a-4ebf-9811-4f4b7c7bb85c,Asia/Seoul,0,2,8a679e8e-8b1a-4ebf-9811-4f4b7c7bb85c.compressed_content.json,0,X,1586012400000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-05-24 04:28:32.537,2020-05-24 04:28:30.115,03fee0db-e051-4a62-a3b9-92f87f8884ff,Asia/Seoul,0,2,03fee0db-e051-4a62-a3b9-92f87f8884ff.compressed_content.json,0,X,1589641200000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-05-10 04:28:34.388,2020-05-10 04:28:30.830,3767421c-a3be-41e2-b634-1831baad7672,Asia/Seoul,0,2,3767421c-a3be-41e2-b634-1831baad7672.compressed_content.json,0,X,1588431600000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-07-05 04:56:15.231,2020-07-05 04:56:13.876,fd0472d1-a8ff-4261-ac35-8207a220b980,Asia/Seoul,0,2,fd0472d1-a8ff-4261-ac35-8207a220b980.compressed_content.json,0,X,1593270000000,CHxXcBbd2u,
com.sec.android.app.shealth,2019-12-01 04:28:31.162,2019-12-01 04:28:29.761,a980b1dc-d1ae-447e-87fe-c771f6889697,Asia/Seoul,0,2,a980b1dc-d1ae-447e-87fe-c771f6889697.compressed_content.json,0,X,1574521200000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-06-21 04:40:00.223,2020-06-21 04:39:58.914,1f69c083-d9ed-4a93-a642-64f1f4155e51,Asia/Seoul,0,2,1f69c083-d9ed-4a93-a642-64f1f4155e51.compressed_content.json,0,X,1592060400000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-06-07 04:28:52.682,2020-06-07 04:28:49.239,5081f491-65c3-4585-84eb-26d765d14cd7,Asia/Seoul,0,2,5081f491-65c3-4585-84eb-26d765d14cd7.compressed_content.json,0,X,1590850800000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-01-14 05:03:03.029,2020-01-14 05:03:01.744,c6850650-cf83-4bd0-b775-d8710b8ea89b,Asia/Seoul,0,2,c6850650-cf83-4bd0-b775-d8710b8ea89b.compressed_content.json,0,X,1578150000000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-02-23 04:29:11.890,2020-02-23 04:29:10.696,f9fcf1c8-0225-4045-a183-1de10a7eb14f,Asia/Seoul,0,2,f9fcf1c8-0225-4045-a183-1de10a7eb14f.compressed_content.json,0,X,1581778800000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-04-05 04:29:09.768,2020-04-05 04:29:07.844,c2b2d8e8-5ec9-4a47-8241-59f7a7a645ff,Asia/Seoul,0,2,c2b2d8e8-5ec9-4a47-8241-59f7a7a645ff.compressed_content.json,0,X,1585407600000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-05-17 06:00:32.457,2020-05-17 06:00:28.335,79e2ec29-b7d5-4f63-adca-914c2f629798,Asia/Seoul,0,2,79e2ec29-b7d5-4f63-adca-914c2f629798.compressed_content.json,0,X,1589036400000,CHxXcBbd2u,
com.sec.android.app.shealth,2020-06-28 06:09:26.888,2020-06-28 06:09:19.430,70d206d5-7b94-4f8b-8bcd-708bb77d6b0e,Asia/Seoul,0,2,70d206d5-7b94-4f8b-8bcd-708bb77d6b0e.compressed_content.json,0,X,1592665200000,CHxXcBbd2u,
