com.samsung.health.sleep_stage,6105031,6
start_time,pkg_name,update_time,create_time,stage,time_offset,datauuid,sleep_id,custom,end_time,deviceuuid
2020-07-12 17:07:00.000,com.sec.android.app.shealth,2020-07-12 17:17:00.000,2020-07-12 17:17:00.000,40001,UTC+0900,2b6f3b5b-bf21-cf1c-6334-ceabd155ce96,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 17:17:00.000,xUcHHNl7co,
2020-07-13 18:37:00.000,com.sec.android.app.shealth,2020-07-13 18:39:00.000,2020-07-13 18:39:00.000,40002,UTC+0900,40827556-81d6-59bc-7b5c-19e227d31c79,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 18:39:00.000,xUcHHNl7co,
2020-07-13 18:55:00.000,com.sec.android.app.shealth,2020-07-13 19:04:00.000,2020-07-13 19:04:00.000,40004,UTC+0900,33ea0c69-8840-fe8d-59f4-7ae3d9292a64,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 19:04:00.000,xUcHHNl7co,
2020-07-13 19:21:00.000,com.sec.android.app.shealth,2020-07-13 19:25:00.000,2020-07-13 19:25:00.000,40002,UTC+0900,64d5d031-ca39-33d0-aa99-50f74bf75cdf,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 19:25:00.000,xUcHHNl7co,
2020-07-12 18:06:00.000,com.sec.android.app.shealth,2020-07-12 18:08:00.000,2020-07-12 18:08:00.000,40001,UTC+0900,24c5cb76-8c0f-21d7-3a50-ca6c528a448f,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:08:00.000,xUcHHNl7co,
2020-07-12 18:21:00.000,com.sec.android.app.shealth,2020-07-12 18:22:00.000,2020-07-12 18:22:00.000,40001,UTC+0900,ec23d134-aede-a9f2-35ce-b4f73f9088b4,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:22:00.000,xUcHHNl7co,
2020-07-12 18:33:00.000,com.sec.android.app.shealth,2020-07-12 18:35:00.000,2020-07-12 18:35:00.000,40001,UTC+0900,417f4a28-a219-5400-e3c8-d3cce5f255b5,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:35:00.000,xUcHHNl7co,
2020-07-12 18:40:00.000,com.sec.android.app.shealth,2020-07-12 18:41:00.000,2020-07-12 18:41:00.000,40001,UTC+0900,46fd080d-dfc5-aab3-82c3-8867bd0df9a8,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:41:00.000,xUcHHNl7co,
2020-07-12 18:54:00.000,com.sec.android.app.shealth,2020-07-12 18:55:00.000,2020-07-12 18:55:00.000,40001,UTC+0900,579faba6-e09a-31e5-5b7b-346728c2d999,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:55:00.000,xUcHHNl7co,
2020-07-12 19:22:00.000,com.sec.android.app.shealth,2020-07-12 19:23:00.000,2020-07-12 19:23:00.000,40001,UTC+0900,ab926e52-b865-8903-46bb-c9a4907af044,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 19:23:00.000,xUcHHNl7co,
2020-07-12 19:39:00.000,com.sec.android.app.shealth,2020-07-12 19:40:00.000,2020-07-12 19:40:00.000,40001,UTC+0900,c264ae06-176c-b731-05dd-28f8d124aa08,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 19:40:00.000,xUcHHNl7co,
2020-07-12 20:10:00.000,com.sec.android.app.shealth,2020-07-12 20:11:00.000,2020-07-12 20:11:00.000,40001,UTC+0900,ef4b7c26-15f0-62b5-71f6-87a236841af6,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 20:11:00.000,xUcHHNl7co,
2020-07-13 19:36:00.000,com.sec.android.app.shealth,2020-07-13 19:38:00.000,2020-07-13 19:38:00.000,40002,UTC+0900,25840d81-0e0f-1655-019c-c49c36ecf571,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 19:38:00.000,xUcHHNl7co,
2020-07-12 20:37:00.000,com.sec.android.app.shealth,2020-07-12 20:41:00.000,2020-07-12 20:41:00.000,40002,UTC+0900,12653cb2-e219-a241-a362-8f03ba6bc0e9,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 20:41:00.000,xUcHHNl7co,
2020-07-13 16:49:00.000,com.sec.android.app.shealth,2020-07-13 16:59:00.000,2020-07-13 16:59:00.000,40002,UTC+0900,32e5d8af-bfba-194f-bc6f-511bd2955a4c,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 16:59:00.000,xUcHHNl7co,
2020-07-12 07:59:00.000,com.sec.android.app.shealth,2020-07-12 08:03:00.000,2020-07-12 08:03:00.000,40002,UTC+0900,a341f41f-8b85-ff16-7b9d-62d85035c86d,c1342020-546f-7524-6996-60d5039c026a,,2020-07-12 08:03:00.000,xUcHHNl7co,
2020-07-12 08:25:00.000,com.sec.android.app.shealth,2020-07-12 08:33:00.000,2020-07-12 08:33:00.000,40002,UTC+0900,02e728ab-eedf-a364-48cc-50551c1cd361,c1342020-546f-7524-6996-60d5039c026a,,2020-07-12 08:33:00.000,xUcHHNl7co,
2020-07-12 09:09:00.000,com.sec.android.app.shealth,2020-07-12 09:16:00.000,2020-07-12 09:16:00.000,40004,UTC+0900,03ebc519-fb36-cf49-c94e-1f306ef3c62d,c1342020-546f-7524-6996-60d5039c026a,,2020-07-12 09:16:00.000,xUcHHNl7co,
2020-07-12 17:17:00.000,com.sec.android.app.shealth,2020-07-12 17:40:00.000,2020-07-12 17:40:00.000,40002,UTC+0900,83a450fc-43d4-5171-6f9a-525120dc27f8,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 17:40:00.000,xUcHHNl7co,
2020-07-12 18:08:00.000,com.sec.android.app.shealth,2020-07-12 18:15:00.000,2020-07-12 18:15:00.000,40002,UTC+0900,ee02664e-6d11-653b-e3b6-7099f6d081df,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:15:00.000,xUcHHNl7co,
2020-07-12 18:22:00.000,com.sec.android.app.shealth,2020-07-12 18:25:00.000,2020-07-12 18:25:00.000,40002,UTC+0900,d41dd8a8-cdaf-af89-001c-eb3b4bf81bae,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:25:00.000,xUcHHNl7co,
2020-07-12 18:35:00.000,com.sec.android.app.shealth,2020-07-12 18:36:00.000,2020-07-12 18:36:00.000,40002,UTC+0900,1b9cc6ef-379e-6dce-9624-99b2b01d5eba,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:36:00.000,xUcHHNl7co,
2020-07-13 19:49:00.000,com.sec.android.app.shealth,2020-07-13 19:58:00.000,2020-07-13 19:58:00.000,40004,UTC+0900,b3898dcd-7fd8-9fb0-65c9-396a298cf210,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 19:58:00.000,xUcHHNl7co,
2020-07-13 17:28:00.000,com.sec.android.app.shealth,2020-07-13 17:29:00.000,2020-07-13 17:29:00.000,40001,UTC+0900,6fffb5f5-8535-9630-fef8-8cd4b809f18e,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 17:29:00.000,xUcHHNl7co,
2020-07-12 18:41:00.000,com.sec.android.app.shealth,2020-07-12 18:42:00.000,2020-07-12 18:42:00.000,40002,UTC+0900,c3dcd135-d19f-25d2-4fae-02208923d8e7,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:42:00.000,xUcHHNl7co,
2020-07-12 18:55:00.000,com.sec.android.app.shealth,2020-07-12 18:59:00.000,2020-07-12 18:59:00.000,40002,UTC+0900,26d29439-319c-beb3-5745-a10ab95bcb56,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:59:00.000,xUcHHNl7co,
2020-07-12 19:23:00.000,com.sec.android.app.shealth,2020-07-12 19:33:00.000,2020-07-12 19:33:00.000,40002,UTC+0900,6d08537f-ab58-2baf-6595-d6c8d1f9d386,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 19:33:00.000,xUcHHNl7co,
2020-07-12 19:40:00.000,com.sec.android.app.shealth,2020-07-12 19:47:00.000,2020-07-12 19:47:00.000,40004,UTC+0900,0a28e5dd-eeaf-3354-1f41-af3e92cb20dc,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 19:47:00.000,xUcHHNl7co,
2020-07-12 08:03:00.000,com.sec.android.app.shealth,2020-07-12 08:06:00.000,2020-07-12 08:06:00.000,40001,UTC+0900,87f9cce7-1f09-1c64-8da1-6ac96ce238e4,c1342020-546f-7524-6996-60d5039c026a,,2020-07-12 08:06:00.000,xUcHHNl7co,
2020-07-13 17:49:00.000,com.sec.android.app.shealth,2020-07-13 17:50:00.000,2020-07-13 17:50:00.000,40001,UTC+0900,4ceead01-5c4d-7d0c-0ed5-24fab118ebae,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 17:50:00.000,xUcHHNl7co,
