com.samsung.shealth.tracker.heart_rate,6105031,3
tag_id,source,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.heart_rate,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.comment
21313,,1594573740000,UTC+0900,98.0,1,,1594576799000,61.0,xUcHHNl7co,1594573200000,com.sec.android.app.shealth,1594576799000,49.0,c2f7f880-8c83-e7f1-0377-284dfb25ecd3.com.samsung.health.heart_rate.binning_data.json,c2f7f880-8c83-e7f1-0377-284dfb25ecd3,,
21301,,1594588836000,UTC+0900,65.0,1,,1594588836000,65.0,xUcHHNl7co,1594588836000,com.sec.android.app.shealth,1594588836000,65.0,,5df318bf-2a3c-7a44-9667-7ab66986717b,,
21301,,1594596446000,UTC+0900,93.0,1,,1594596446000,93.0,xUcHHNl7co,1594596446000,com.sec.android.app.shealth,1594596446000,93.0,,92113ae1-c7e5-0279-5c14-0d5f47019354,,
21301,,1594556319000,UTC+0900,64.0,1,,1594556319000,64.0,xUcHHNl7co,1594556319000,com.sec.android.app.shealth,1594556319000,64.0,,512442b8-77a3-1246-fd5e-48726b031dea,,
21301,,1594564128000,UTC+0900,72.0,1,,1594564128000,72.0,xUcHHNl7co,1594564128000,com.sec.android.app.shealth,1594564128000,72.0,,3d2a1c40-da56-bc20-2141-82a49c8b3d51,,
21313,,1594602480000,UTC+0900,108.0,1,,1594605599000,85.0,xUcHHNl7co,1594602000000,com.sec.android.app.shealth,1594605599000,73.0,9d5f1065-ae98-02c1-47b6-2c55ab813ac6.com.samsung.health.heart_rate.binning_data.json,9d5f1065-ae98-02c1-47b6-2c55ab813ac6,,
21301,,1594607538000,UTC+0900,77.0,1,,1594607538000,77.0,xUcHHNl7co,1594607538000,com.sec.android.app.shealth,1594607538000,77.0,,0a67f4d6-1fc0-1d93-f1b0-b11cef3cb024,,
21301,,1594612490000,UTC+0900,95.0,1,,1594612490000,95.0,xUcHHNl7co,1594612490000,com.sec.android.app.shealth,1594612490000,95.0,,62d06905-9c78-008c-618f-6350101543bd,,
21301,,1594618136000,UTC+0900,84.0,1,,1594618136000,84.0,xUcHHNl7co,1594618136000,com.sec.android.app.shealth,1594618136000,84.0,,13252f3e-c48e-9647-37d0-878cbaa88c24,,
21301,,1594622958000,UTC+0900,79.0,1,,1594622958000,79.0,xUcHHNl7co,1594622958000,com.sec.android.app.shealth,1594622958000,79.0,,e9bd634f-badf-8b8b-2fbf-968a3a0ea29c,,
21301,,1594025849802,UTC+0900,64.0,0,,1594025843095,64.0,CHxXcBbd2u,1594025839720,com.sec.android.app.shealth,1594025849802,64.0,,6d2dd811-757b-4986-88b5-394af7a75abe,,
21301,,1594265424000,UTC+0900,110.0,1,,1594265424000,110.0,xUcHHNl7co,1594265424000,com.sec.android.app.shealth,1594265424000,110.0,,bb497ddd-07f8-87fb-7c85-0607e0141d22,,
