com.samsung.shealth.calories_burned.details,6105031,1
extra_data,version,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.day_time,com.samsung.shealth.calories_burned.deviceuuid
7d606cb2-3b26-475f-99f5-8a25c31c946c.extra_data.json,,0.0,9968752,com.sec.android.app.shealth,1570028471609,1569942010270,7d606cb2-3b26-475f-99f5-8a25c31c946c,1439.6277,622.4951,1569974400000,CHxXcBbd2u,
cd784ca6-cb22-4722-ac2a-68d601707d27.extra_data.json,,0.0,7853410,com.sec.android.app.shealth,1569855600955,1569769201582,cd784ca6-cb22-4722-ac2a-68d601707d27,1463.9885,533.53577,1569801600000,CHxXcBbd2u,
6d19dbda-a9de-4ae7-9128-2a61c7c3fe7e.extra_data.json,,0.0,0,com.sec.android.app.shealth,1569058795062,1569058795062,6d19dbda-a9de-4ae7-9128-2a61c7c3fe7e,1610.3641,0.0,1567987200000,CHxXcBbd2u,
1cbe00e0-753f-4af1-a90c-a830fc7fa808.extra_data.json,,0.0,0,com.sec.android.app.shealth,1569058795356,1569058795356,1cbe00e0-753f-4af1-a90c-a830fc7fa808,1610.3641,0.0,1568505600000,CHxXcBbd2u,
77d4df1e-73e3-438b-b834-cffcc02acea7.extra_data.json,,0.0,4950764,com.sec.android.app.shealth,1570374000813,1570287601057,77d4df1e-73e3-438b-b834-cffcc02acea7,1534.1443,293.47296,1570320000000,CHxXcBbd2u,
d3ed046b-3bf3-4780-9d49-7077252c4e9c.extra_data.json,,0.0,2675963,com.sec.android.app.shealth,1570546800952,1570460400489,d3ed046b-3bf3-4780-9d49-7077252c4e9c,1576.9917,169.90698,1570492800000,CHxXcBbd2u,
b4166f91-c6ec-43a0-936c-f208ab66a9bc.extra_data.json,,0.0,8748493,com.sec.android.app.shealth,1571065201087,1570978801325,b4166f91-c6ec-43a0-936c-f208ab66a9bc,1462.6118,571.4291,1571011200000,CHxXcBbd2u,
cbc2b77a-5de1-4944-a990-d7d5e7bf4244.extra_data.json,,0.0,7876804,com.sec.android.app.shealth,1569166513570,1569078000565,cbc2b77a-5de1-4944-a990-d7d5e7bf4244,1463.5526,491.0347,1569110400000,CHxXcBbd2u,
68836e28-262f-4f00-bf41-3d2b0e900116.extra_data.json,,0.0,0,com.sec.android.app.shealth,1569058794672,1569058794672,68836e28-262f-4f00-bf41-3d2b0e900116,1610.3641,0.0,1567382400000,CHxXcBbd2u,
f21f5655-9a27-4e87-ad92-74ebe0a0562c.extra_data.json,,0.0,7725360,com.sec.android.app.shealth,1570893437754,1570806000637,f21f5655-9a27-4e87-ad92-74ebe0a0562c,1481.8833,457.5099,1570838400000,CHxXcBbd2u,
15caf8d6-f848-4860-8551-c2c2d8f6e092.extra_data.json,,0.0,3656523,com.sec.android.app.shealth,1571583600907,1571497200596,15caf8d6-f848-4860-8551-c2c2d8f6e092,1558.5222,221.96654,1571529600000,CHxXcBbd2u,
b29d5e31-9191-41ac-ae59-4b329a34d73c.extra_data.json,,0.0,0,com.sec.android.app.shealth,1569058794998,1569058794998,b29d5e31-9191-41ac-ae59-4b329a34d73c,1610.3641,0.0,1567900800000,CHxXcBbd2u,
6fb73a42-a525-4477-bc75-18748e9f444b.extra_data.json,,0.0,5822754,com.sec.android.app.shealth,1571410801302,1571324400913,6fb73a42-a525-4477-bc75-18748e9f444b,1517.72,398.516,1571356800000,CHxXcBbd2u,
