com.samsung.shealth.activity.day_summary,6105031,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,-1,-1,2019-09-21 09:39:53.985,0.0,0,0,0,1568592000000,CHxXcBbd2u,0,0,com.sec.android.app.shealth,2019-09-21 09:39:53.985,0,8e49f291-dc70-4486-be1c-7dee268a03d0,8e49f291-dc70-4486-be1c-7dee268a03d0.extra_data.json,0.0,
0,60,33000000,2019-09-30 15:00:10.733,7537.8765,6694,9863,5396525,1569888000000,CHxXcBbd2u,5403219,148,com.sec.android.app.shealth,2019-10-01 15:00:00.331,1324174,bca9c110-4274-4224-890d-dd99b6771afa,bca9c110-4274-4224-890d-dd99b6771afa.extra_data.json,349.74207,
0,-1,-1,2019-09-21 09:39:53.372,0.0,0,0,0,1567468800000,CHxXcBbd2u,0,0,com.sec.android.app.shealth,2019-09-21 09:39:53.372,0,6fefb15e-c75c-440d-b50f-a5e29e92bf72,6fefb15e-c75c-440d-b50f-a5e29e92bf72.extra_data.json,0.0,
0,-1,-1,2019-09-21 09:39:53.741,0.0,0,0,0,1567987200000,CHxXcBbd2u,0,0,com.sec.android.app.shealth,2019-09-21 09:39:53.741,0,01029550-6332-4448-95db-b531a1a76e1a,01029550-6332-4448-95db-b531a1a76e1a.extra_data.json,0.0,
0,60,14760000,2019-09-22 15:35:12.787,12431.152,13098,16578,8859271,1569196800000,CHxXcBbd2u,8872369,245,com.sec.android.app.shealth,2019-09-23 13:12:54.371,1083917,4f6db4b6-6830-4eb4-b4ff-3dacce3063e2,4f6db4b6-6830-4eb4-b4ff-3dacce3063e2.extra_data.json,626.797,
0,60,36120000,2019-10-06 15:00:00.481,10169.361,0,14136,7589424,1570406400000,CHxXcBbd2u,7589424,210,com.sec.android.app.shealth,2019-10-07 13:13:29.470,1282455,6f632013-4dd9-48ed-8be7-875f0e210d99,6f632013-4dd9-48ed-8be7-875f0e210d99.extra_data.json,518.7039,
0,-1,-1,2019-09-21 09:39:53.960,0.0,0,0,0,1568505600000,CHxXcBbd2u,0,0,com.sec.android.app.shealth,2019-09-21 09:39:53.960,0,bd86fec6-4c34-4cbf-b3fe-709038817b4a,bd86fec6-4c34-4cbf-b3fe-709038817b4a.extra_data.json,0.0,
0,60,26280000,2019-09-28 15:00:10.168,5578.751,19266,7108,4191753,1569715200000,CHxXcBbd2u,4211019,115,com.sec.android.app.shealth,2019-09-29 13:58:07.392,698512,15b5a504-20b1-4c31-9b18-77c919609768,15b5a504-20b1-4c31-9b18-77c919609768.extra_data.json,232.29001,
0,60,26640000,2019-09-21 15:00:00.482,10432.595,64983,13881,7811821,1569110400000,CHxXcBbd2u,7876804,218,com.sec.android.app.shealth,2019-09-22 11:30:29.866,1627721,6d5a6335-808f-4887-9e21-9f5f22a06506,6d5a6335-808f-4887-9e21-9f5f22a06506.extra_data.json,491.03464,
0,60,28620000,2019-10-04 15:00:00.560,10356.9795,32251,13384,7650097,1570233600000,CHxXcBbd2u,7682348,211,com.sec.android.app.shealth,2019-10-05 10:46:20.070,787107,60ec4052-70de-4621-ac15-a42a6b917b5b,60ec4052-70de-4621-ac15-a42a6b917b5b.extra_data.json,458.5886,
