com.samsung.shealth.tracker.pedometer_step_count,6105031,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
41603,0,4,66,1592364534495,61.25,UTC+0900,,88,1592364360000,1.4722222,CHxXcBbd2u,1592364300000,com.sec.android.app.shealth,1592364534495,0811b969-4342-4806-a09a-9ac01fd6fe78,3.02,,
55555,0,4,89,1592364534543,81.79,UTC+0900,,117,1592364480000,1.4722222,CHxXcBbd2u,1592364420000,com.sec.android.app.shealth,1592364534543,597a878a-42e9-4997-bf00-1dd10c776205,3.71,,
56813,0,4,110,1592364534518,85.22,UTC+0900,,110,1592364420000,1.5,CHxXcBbd2u,1592364360000,com.sec.android.app.shealth,1592364534518,82c40dd2-ef3b-4d39-90b3-32f5135c8eff,3.59,,
49868,0,4,91,1592364534559,69.5,UTC+0900,,91,1592364540000,1.3936756,CHxXcBbd2u,1592364480000,com.sec.android.app.shealth,1592364905830,27d99a65-6260-4e7c-9e4f-fa7d107c54dd,3.3799999,,
60000,0,4,108,1592364905870,88.15,UTC+0900,,115,1592364600000,1.4691666,CHxXcBbd2u,1592364540000,com.sec.android.app.shealth,1592364905870,04087473-8f4f-40c7-b32f-3349a74fcc9d,4.07,,
28119,0,4,55,1592364905898,42.96,UTC+0900,,55,1592364660000,1.5277778,CHxXcBbd2u,1592364600000,com.sec.android.app.shealth,1592364905898,4c7290cb-1968-47c4-afac-0f8cfb0980ff,1.77,,
5866,0,4,15,1592364905934,12.71,UTC+0900,,15,1592364720000,2.1666667,CHxXcBbd2u,1592364660000,com.sec.android.app.shealth,1592364905934,d0416ae8-18cd-4c54-8408-faf299df0669,0.51,,
16680,0,4,34,1592364905971,27.8,UTC+0900,,34,1592364780000,1.6666666,CHxXcBbd2u,1592364720000,com.sec.android.app.shealth,1592364905971,e9660478-d245-4cf6-a85a-36e73a3dd040,1.11,,
17888,0,4,34,1592365622915,27.33,UTC+0900,,34,1592365440000,1.5277778,CHxXcBbd2u,1592365380000,com.sec.android.app.shealth,1592365622915,5cb37cd4-566b-4481-9bb8-b22a944e6226,1.22,,
35867,0,4,73,1592365622935,56.79,UTC+0900,,73,1592365500000,1.5833334,CHxXcBbd2u,1592365440000,com.sec.android.app.shealth,1592365622935,f348a38a-a473-4725-8ebc-92c79b913caa,2.36,,
47464,0,4,95,1592365622951,76.47,UTC+0900,,95,1592365560000,1.6111112,CHxXcBbd2u,1592365500000,com.sec.android.app.shealth,1592365622951,2e8db402-d860-493d-b305-0a1451cbbdb1,3.16,,
56071,0,4,113,1592365622967,88.78,UTC+0900,,113,1592365620000,1.5833334,CHxXcBbd2u,1592365560000,com.sec.android.app.shealth,1592365622967,db247643-979b-426a-96e5-fd2bb4251c72,3.43,,
54946,0,4,84,1592365623413,80.69,UTC+0900,,113,1592365680000,1.4685233,CHxXcBbd2u,1592365620000,com.sec.android.app.shealth,1592366112481,8e9179f2-73fd-4659-a4e1-4ad64c543a9a,4.58,,
57912,0,4,99,1592366112504,85.26,UTC+0900,,115,1592365740000,1.4722222,CHxXcBbd2u,1592365680000,com.sec.android.app.shealth,1592366112504,e393da2b-9fe8-479f-a67f-b3220528803f,4.19,,
16601,0,4,27,1592366112568,23.98,UTC+0900,,35,1592365800000,1.4444444,CHxXcBbd2u,1592365740000,com.sec.android.app.shealth,1592366112568,62105d54-1dcf-4c18-aadd-138834e50c03,1.62,,
8280,0,4,19,1592366112601,14.95,UTC+0900,,19,1592365860000,1.8055556,CHxXcBbd2u,1592365800000,com.sec.android.app.shealth,1592366112601,b7d18ab0-498a-4788-a4bc-70ba2c76485c,0.65,,
25629,0,4,52,1592366112639,40.58,UTC+0900,,52,1592365920000,1.5833334,CHxXcBbd2u,1592365860000,com.sec.android.app.shealth,1592366112639,bc7f7fca-5872-412b-b65d-be5d5584baa9,1.64,,
18150,0,4,39,1592366362750,31.26,UTC+0900,,39,1592366160000,1.7222222,CHxXcBbd2u,1592366100000,com.sec.android.app.shealth,1592366362750,5be2276b-e02f-490a-99e2-a3dbd6c8848e,1.24,,
9984,0,4,21,1592366362768,16.64,UTC+0900,,21,1592366220000,1.6666666,CHxXcBbd2u,1592366160000,com.sec.android.app.shealth,1592366362768,c5f402e3-7f00-4c04-acc3-9d8667dd398b,0.7,,
17480,0,4,33,1592367834778,25.25,UTC+0900,,33,1592367420000,1.4444444,CHxXcBbd2u,1592367360000,com.sec.android.app.shealth,1592367834778,4dba6212-feee-47dc-af78-0549e4ee4887,1.14,,
3164,0,4,8,1592367839003,6.57,UTC+0900,,8,1592367840000,2.075891,CHxXcBbd2u,1592367780000,com.sec.android.app.shealth,1592367839968,b9c28e98-36be-4f97-b18e-8963d4a542f4,0.26,,
17333,15,4,28,1592367840364,39.08,UTC+0900,,43,1592367900000,2.2546227,CHxXcBbd2u,1592367840000,com.sec.android.app.shealth,1592367898019,7a901e2c-a131-4886-bab6-f03abbb76f90,2.0400002,,
28294,0,4,56,1592368630834,43.660007,UTC+0900,,56,1592368680000,1.5430808,CHxXcBbd2u,1592368620000,com.sec.android.app.shealth,1592368679169,f9ef93d3-0acc-486d-b710-1a22700214d8,1.7699991,,
8712,0,4,17,1592370916879,13.31,UTC+0900,,17,1592369880000,1.5277778,CHxXcBbd2u,1592369820000,com.sec.android.app.shealth,1592370916879,54baa30d-5889-4967-8156-2e24f4bf5d51,0.57,,
27360,0,4,51,1592374222373,39.52,UTC+0900,,51,1592373720000,1.4444444,CHxXcBbd2u,1592373660000,com.sec.android.app.shealth,1592374222373,be870d65-8a9a-4e67-87d8-ba105f15af2b,1.74,,
5547,0,4,11,1592374222462,8.63,UTC+0900,,11,1592373780000,1.5555556,CHxXcBbd2u,1592373720000,com.sec.android.app.shealth,1592374222462,a211e3d2-219e-495a-8064-bcc7c391f35f,0.33,,
13365,0,4,26,1592376902790,20.42,UTC+0900,,26,1592376780000,1.5277778,CHxXcBbd2u,1592376720000,com.sec.android.app.shealth,1592376902790,7b7496eb-7a4a-4b2b-9e0e-59adcd54211a,0.85,,
5604,0,4,12,1592376902807,9.34,UTC+0900,,12,1592376840000,1.6666666,CHxXcBbd2u,1592376780000,com.sec.android.app.shealth,1592376902807,4e8170d7-b69f-4aaf-afb1-a48500113582,0.4,,
