com.samsung.shealth.tracker.pedometer_day_summary,6105031,5
create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
2019-10-06 15:00:01.295,6610.6206,80ff29a5-f028-4923-a97a-12804ced4daa.achievement.json,8611,6000,1570320000000,3.3888888,CHxXcBbd2u,4085931,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-06 15:00:01.295,8567,80ff29a5-f028-4923-a97a-12804ced4daa.binning_data.json,80ff29a5-f028-4923-a97a-12804ced4daa,292.03992,44,,3757,
2019-10-09 15:00:01.145,6200.31,3954499e-b4c0-4a11-8c8d-65014f9aad9a.achievement.json,8077,6000,1570579200000,3.3441873,CHxXcBbd2u,3850569,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-09 15:00:01.145,8033,3954499e-b4c0-4a11-8c8d-65014f9aad9a.binning_data.json,3954499e-b4c0-4a11-8c8d-65014f9aad9a,264.25998,44,,7217,
2019-10-12 15:17:18.032,10268.21,c42773b8-1971-425d-bc02-13e652c13a4d.achievement.json,13263,6000,1570838400000,3.8240001,CHxXcBbd2u,6495152,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-12 15:17:18.032,12982,c42773b8-1971-425d-bc02-13e652c13a4d.binning_data.json,c42773b8-1971-425d-bc02-13e652c13a4d,454.07996,281,,1662,
2019-10-15 15:00:02.948,11988.95,661b0c1f-5de2-43b9-a889-570d44379152.achievement.json,15516,6000,1571097600000,3.4166667,CHxXcBbd2u,7439904,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-15 15:00:02.948,15334,661b0c1f-5de2-43b9-a889-570d44379152.binning_data.json,661b0c1f-5de2-43b9-a889-570d44379152,529.31995,182,,4753,
2019-10-18 15:00:01.585,7897.95,e0ed5e09-da25-49aa-af23-324814e968d1.achievement.json,10868,6000,1571356800000,2.612452,CHxXcBbd2u,4884753,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-18 15:00:01.585,10742,e0ed5e09-da25-49aa-af23-324814e968d1.binning_data.json,e0ed5e09-da25-49aa-af23-324814e968d1,393.74997,126,,7720,
2019-10-15 00:26:10.143,11988.95,4fd6d3d9-6daf-458d-901b-aac862baf20e.achievement.json,15516,6000,1571097600000,1.6114186,VfS0qUERdZ,7439997,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-15 14:25:50.589,15334,4fd6d3d9-6daf-458d-901b-aac862baf20e.binning_data.json,4fd6d3d9-6daf-458d-901b-aac862baf20e,529.31995,182,4fd6d3d9-6daf-458d-901b-aac862baf20e.source_info.json,0,
2019-10-21 15:00:05.182,11306.89,793fc102-c022-4de6-a09d-b4e329088442.achievement.json,15928,6000,1571616000000,2.4517405,CHxXcBbd2u,7151022,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-21 15:00:05.182,15805,793fc102-c022-4de6-a09d-b4e329088442.binning_data.json,793fc102-c022-4de6-a09d-b4e329088442,578.48,123,,14303,
2019-10-24 15:00:01.531,9430.319,4dbbb74d-d0f7-43de-a351-ae01e272485e.achievement.json,13317,6000,1571875200000,2.1829832,CHxXcBbd2u,6002584,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-24 15:00:01.531,13274,4dbbb74d-d0f7-43de-a351-ae01e272485e.binning_data.json,4dbbb74d-d0f7-43de-a351-ae01e272485e,513.51996,43,,8848,
2019-09-21 22:24:20.716,10362.47,4ae8a930-f737-486d-a1d3-bccb1f23137e.achievement.json,13881,6000,1569110400000,1.6047952,VfS0qUERdZ,6457191,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-09-22 11:29:30.328,13685,4ae8a930-f737-486d-a1d3-bccb1f23137e.binning_data.json,4ae8a930-f737-486d-a1d3-bccb1f23137e,487.76993,196,4ae8a930-f737-486d-a1d3-bccb1f23137e.source_info.json,0,
2019-10-27 15:00:04.327,12104.2,f5f8f972-2c98-4e6c-b403-90ce05ac01c0.achievement.json,15573,6000,1572134400000,3.329148,CHxXcBbd2u,7348205,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-27 15:00:04.327,15402,f5f8f972-2c98-4e6c-b403-90ce05ac01c0.binning_data.json,f5f8f972-2c98-4e6c-b403-90ce05ac01c0,515.37994,171,,9464,
