com.samsung.health.sleep,1140029,6
end_time,custom,pkg_name,update_time,start_time,datauuid,time_offset,create_time,comment,deviceuuid
2020. 07. 08. 오전 6:31:00,,com.sec.android.app.shealth,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 1:29:00,25d0c752-a13b-e059-bdda-0b08ab05e535,32400000,2020. 07. 08. 오전 6:31:27,,Eb+lTn/Fs+,
2020. 07. 09. 오전 6:59:00,,com.sec.android.app.shealth,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 12:31:00,7bb54ad5-534c-62ca-6760-6ac147db9428,32400000,2020. 07. 09. 오전 7:03:31,,Eb+lTn/Fs+,
2020. 07. 13. 오전 6:59:00,,com.sec.android.app.shealth,2020. 07. 13. 오전 7:04:18,2020. 07. 13. 오전 1:55:00,beb9177d-4674-5f45-24b9-d21efaf4dff9,32400000,2020. 07. 13. 오전 7:04:18,,Eb+lTn/Fs+,
2020. 07. 15. 오전 6:44:00,,com.sec.android.app.shealth,2020. 07. 15. 오전 6:52:40,2020. 07. 15. 오전 12:38:00,4d9427c7-64d6-d423-7dd7-650bef7c846c,32400000,2020. 07. 15. 오전 6:52:40,,Eb+lTn/Fs+,

