제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
파슬 미스핏 레이,118950,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4482751&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B345726387&package=0&setpc=0,파슬,201609,스마트밴드,기타OS,,,안드로이드OS,iOS,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,,○,○,,,○,,,○,,,,,,○,,,,,,,,,○,○,,,,,,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
코아 CKC V2,50220,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6530584&cmpnyc=TJ418&safe_trade=4&fee_type=T&link_pcode=0005822697&package=0&setpc=0,코아,201810,스마트밴드,,블루투스,v4.2,안드로이드OS,iOS,사각형,TFT,"2.43cm(0.96"")",,,,,,,,,○,,,,,,,,○,,○,○,○,,,,,,,,,,○,○,○,○,○,,,,,,,○,,,,,,○,,,,,,,,,,○,○,,,31g,IP67,,밴드분리형,R-coa-CKCV2 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Rundi QW16,13630,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=8186665&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2422237278&package=0&setpc=0,,201906,스마트밴드,기타OS,블루투스,,,,사각형,LCD,"2.43cm(0.96"")",,,,,,,,,○,,,,,,,,,,○,○,○,,,○,,,,,,○,○,○,○,○,○,,,,,,,,,○,,,,○,,,,,,○,,○,,,○,90mAh,,,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
핏빗 Charge 3,138970,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6397760&cmpnyc=TP90D&safe_trade=4&fee_type=T&link_pcode=40A0802551&package=0&setpc=0,핏빗,201808,스마트밴드,기타OS,블루투스,v4.0,v4.3 이상,v9.0 이상,사각형,OLED,,,,,,,,,,○,○,,○,,,,,,,○,○,○,○,,,,○,,,○,○,○,○,,○,○,,○,,○,,,○,,,,,,○,,,,,,,,,,,○,,평균사용:최대 7일,,5ATM,,,R-CRM-XRA-FB410 인증번호 확인,YU10298-18010 인증번호 확인
아비람 S2,34870,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4886755&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1735341748&package=0&setpc=0,아비람,201702,스마트밴드,기타OS,블루투스,v4.0,v4.3 이상,v7.0 이상,사각형,OLED,,,,,,,,○,,○,,,○,,,,,,,○,,,,,,,,,,,○,○,○,○,○,○,,○,,,,,,,,,○,,○,,,○,,,○,○,○,,,○,,평균사용:14일,,IP67,,,MSIP-CRI-abr-S2 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
삼성전자 기어 핏,202540,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=2479165&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1036953388&package=0&setpc=0,삼성전자,201402,스마트밴드,타이젠OS,블루투스,,안드로이드OS,,사각형,SAMOLED,,432x128,,,,,,,,○,○,,○,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,,,,,,,,,,○,,○,,,○,,,,○,,,,,210mAh,평균사용:3~4일,27g,IP67,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
vidonn X6,48600,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3442701&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B287377034&package=0&setpc=0,vidonn,201509,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,,128x64,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,,,,,,,,,,○,,○,,,,,,,,,,75mAh,평균사용:대기 15일,,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Britz 브리츠액세서리즈 BA-SW5 Light,26880,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6431492&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=911611626&package=0&setpc=0,Britz,201808,스마트밴드,기타OS,블루투스,,안드로이드OS,,사각형,OLED,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,○,,,,,,,,,,,○,,○,,,,,,,,○,,,○,55mAh,평균사용:약 3일,15g,,,밴드분리형,MSIP-CMI-BZI-BA-SW5 인증번호 확인,XU101026-17001 인증번호 확인
샤오미 화미 어메이즈핏 문빔,160990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4005508&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=3988534878&package=0&setpc=0,샤오미,201604,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,원형,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,,○,○,,,,,,,,,,,,○,,○,,,,,,,,,,,○,,평균사용:10일,,IP67,,밴드일체형,msip-cri-1ho-a1501 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
M30,22310,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6450593&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1488849583&package=0&setpc=0,,201809,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,TFT,"2.43cm(0.96"")",,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,○,,,,,,,○,,○,,,,○,,,,,,○,,,,,○,90mAh,,24g,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
코아 CK HR,32850,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=5066881&cmpnyc=TJ418&safe_trade=4&fee_type=T&link_pcode=0005822694&package=0&setpc=0,코아,201704,스마트밴드,기타OS,블루투스,v4.0,v4.4 이상,v8.0 이상,사각형,OLED,"2.43cm(0.96"")",,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,,,,,○,,,,○,,○,,,,,,○,○,○,,,○,75mAh,,,IP67,,밴드분리형,MSIP-CMM-coa-COACKHR 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
코아 CK7,43900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4542938&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B297598757&package=0&setpc=0,코아,201610,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,,"2.43cm(0.96"")",,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,○,,,,,,,,,○,,○,,,,,,○,○,○,,,,75mAh,평균사용:5~7일,,IP67,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
아비람 A4 COLOR,42180,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6247273&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2073842303&package=0&setpc=0,아비람,201806,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,IPS,"2.43cm(0.96"")",,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,○,,,,,,,,,,○,○,,평균사용:7일,20g,IP67,,,R-CRI-abr-A4COLOR 인증번호 확인,XU100318-17002A 인증번호 확인
화웨이 아너밴드 4,38610,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=7256728&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1574404279&package=0&setpc=0,화웨이,201902,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,AMOLED,"2.41cm(0.95"")",,,,,,,,,○,○,,,,,,,,,○,○,○,,,,,○,,,,○,○,○,,○,○,,,,,,,,,,,,,,,,,,,○,○,○,,,○,100mAh,,130g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
인바디 인바디밴드2,169000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=5189410&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B729547462&package=0&setpc=0,인바디,201705,스마트밴드,기타OS,블루투스,,v5.0 이상,v8.0 이상,사각형,,,,,,,,,,,○,,,,,,,,,,○,,,,,,,,,,,○,○,○,○,○,○,,○,,,,,,○,,,○,,○,,,,,,,,○,,,○,,평균사용:14일,,IP68,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Nintendo 포켓몬 GO 플러스,53790,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4290456&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B427605852&package=0&setpc=0,Nintendo,201609,스마트밴드,,,,안드로이드OS,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
코아 CKS COLOR,53900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6545632&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1249176213&package=0&setpc=0,코아,201810,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,TFT,"2.43cm(0.96"")",,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,,,,,,,,,,,,○,,,,,,,,,,,○,,평균사용:7일,20g,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Garmin 비보스포츠,188300,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6252538&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=I238753503&package=0&setpc=0,Garmin,201806,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,,,144x72,,,,,,○,,○,○,,,○,,,,,,,,,,,,,,,,,○,○,○,,○,○,,○,,,,,○,,,,○,,,,,○,,,,○,,,○,○,,평균사용:최대 7일,24.1~27g,지원,,밴드일체형,MSIP-CMM-GRm-vivosport 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
샤오미 미 밴드 1S,35610,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3555709&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=774896844&package=0&setpc=0,샤오미,201511,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,,,○,○,,,,,○,,○,,,,,,,○,,,,○,45mAh,평균사용:10일,,IP67,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Diggro 스마트 웨스트 밴드,16370,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6198031&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1417198846&package=0&setpc=0,Diggro,201806,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
신우전자 PE-775,49540,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4019022&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1364166354&package=0&setpc=0,신우전자,201605,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,○,,,,,,,,,○,,,,,,,,,○,○,,,○,,,,,,밴드일체형,MSIP-CRM-Sw4-PE-770 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
샤오미 화미 어메이즈핏 이큐레이터,162360,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4005517&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=4084381780&package=0&setpc=0,샤오미,201604,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,원형,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,,○,○,,,,,,,,,,,,○,,○,,,,,,,,,,,,,평균사용:10일,,IP68,,밴드일체형,msip-cri-1ho-a1501 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
헬스원 헤라핏 플러스,96000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6139417&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2043337280&package=0&setpc=0,헬스원,201805,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,,OLED,"2.03cm(0.80"")",,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,,,,,,,,,,,,○,,,○,,,○,,,,○,○,80mAh,평균사용:7일~15일,23g,IPX7,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Chuangzaozhe W5,34770,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4129311&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=3988528504&package=0&setpc=0,Chuangzaozhe,201606,스마트밴드,,블루투스,,안드로이드OS,iOS,,LED,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,,,○,,,○,,,,,○,,,,,,,,,,,,,,,,,,,,18g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Withings 위딩스 펄스,119860,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=2432503&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=2672326911&package=0&setpc=0,Withings,201401,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,,128x32,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,○,,○,,○,,,,,,,,,,,,,,,,,○,,,○,,평균사용:14일,8g,,,클립형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Diggro DB-07,18700,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6171137&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1416236990&package=0&setpc=0,Diggro,201805,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,,"2.43cm(0.96"")",160x80,Dialog 14585,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,,○,,○,○,,,,,,,,,,,,,○,,,,,,,,,,○,○,90mAh,평균사용:7일~9일,87g,IP67,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Garmin 비보핏 피트니스 밴드,71170,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4204970&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=4214609157&package=0&setpc=0,Garmin,201407,스마트밴드,기타OS,블루투스,,안드로이드OS,,사각형,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,○,,,,,○,,,,,,,,,,,,,○,○,,,○,,평균사용:1년,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
핏빗 Flex 2,112960,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4459580&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1820578173&package=0&setpc=0,핏빗,201609,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,LED,,,,,,,,○,,,○,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,,,,,,,,,○,,○,,,,,,,○,○,,,○,,평균사용:5일,,5ATM,,밴드분리형,MSIP-CMM-XRA-FB403 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
C1S,24310,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6373472&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1473585494&package=0&setpc=0,,201808,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,○,,○,,○,,,,,,,○,,,,○,,,○,,,○,,,,,○,,,,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
레노버 HX06,22170,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6415118&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B568324368&package=0&setpc=0,레노버,201808,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,"2.21cm(0.87"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,○,,,,,,,,,,,○,,,,,,,,,,○,○,60mAh,,,IP67,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Garmin 비보스마트4,198000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6488387&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000030447392&package=0&setpc=0,Garmin,201809,스마트밴드,기타OS,블루투스,v4.0,v4.3 이상,v7.0 이상,사각형,OLED,,,,,,,,,,○,,,,,,,,,,○,○,,○,,,,○,,,○,○,○,○,,○,○,,○,,,,,○,,,,,,,,,○,,,○,,,,,○,,,,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
파트론 크로이스.E 어반 밴드,84640,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3488019&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1895713620&package=0&setpc=0,파트론,201510,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,PMOLED,"2.32cm(0.91"")",128x36,,,,,,,,,○,,○,○,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,○,○,,○,,,,,,,○,,,,,,,,,,,○,,"평균사용:대기 3일, Extreme모드 12시간",,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
ID130,20900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6271255&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1458406821&package=0&setpc=0,,201807,스마트밴드,윈도우OS,블루투스,,안드로이드OS,iOS,사각형,OLED,"2.21cm(0.87"")",128x32,Nordic nRF51802,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,○,,○,,,○,,,,,,,,○,,,,,,○,,,,,○,45mAh,,39g,IP67,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
화웨이 B29 GPS,125460,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6258906&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B547440728&package=0&setpc=0,화웨이,201806,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,LED,"2.32cm(0.91"")",128x32,,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,,,,,,○,,,,,,,,,,○,○,100mAh,평균사용:21일,21g,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
V07S,26090,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6473314&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1493943586&package=0&setpc=0,,201809,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,"2.21cm(0.87"")",,,,램 : 32KB,저장 : 256KB,,,,,○,,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,,,,,,,,,,○,,,,,,○,○,,,,○,70mAh,,19.5g,IP67,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
화웨이 토크밴드 B3 라이트,155100,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=7002850&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B544656408&package=0&setpc=0,화웨이,201901,스마트밴드,,블루투스,,안드로이드OS,iOS,사각형,OLED,"2.32cm(0.91"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,,,,,,,,○,,,,○,,,,,,○,,○,○,91mAh,평균사용:3.5일,30g,IP57,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
UP9 Pro,24780,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6466979&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1492279090&package=0&setpc=0,,201809,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,TFT,"2.43cm(0.96"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,,,,,,,,,,○,,,○,,,○,,,,,○,80mAh,,,IP67,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
V66S,25060,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6459703&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1490699093&package=0&setpc=0,,201809,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,,"2.43cm(0.96"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,90mAh,,24g,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
화웨이 아너 A3,26650,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6459647&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1512738141&package=0&setpc=0,화웨이,201809,스마트워치,기타OS,블루투스,,,,사각형,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,○,,평균사용:30일,,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
INSMA S1,29820,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6422929&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B563962728&package=0&setpc=0,INSMA,201808,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,,,,,,저장 : 64KB,,,,○,,,,,,,,,○,,,,,,,,,,,,○,,○,,○,○,,○,,,,,,,,,,,○,,,,,,,,,,,,90mAh,,,IP67,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
DM11,57600,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=8216005&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B544654411&package=0&setpc=0,,201906,스마트밴드,기타OS,블루투스,v4.0,,,사각형,IPS,,160x80,,,,,,,,○,,○,,,,,,,,○,,,,,,,,,,,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,○,,○,○,120mAh,,,IP68,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
코아 CK COLOR,53900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6166426&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B498318295&package=0&setpc=0,코아,201805,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,IPS,"2.43cm(0.96"")",,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,○,○,,,,,,,,,,,,,○,,,,,,,,,,○,○,,평균사용:7일,20g,IP67,,밴드분리형,R-CMM-coa-CKCOLOR 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
핏빗 One,106640,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3434614&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=2962127828&package=0&setpc=0,핏빗,201509,스마트웨어러블,,,,안드로이드OS,iOS,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,○,,,,,,,○,,,,,,,,,,○,,,,,평균사용:10~14일,,,,클립형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
