com.samsung.shealth.step_daily_trend,1140029,6
speed,day_time,pkg_name,count,binning_data,source_pkg_name,source_type,calorie,deviceuuid,datauuid,distance,create_time,update_time
1.683666,1594598400000,com.sec.android.app.shealth,6742,3d50fd8e-32fc-44d6-96e5-6bf613840448.binning_data,com.sec.android.app.shealth,0,313.259066,sZOKHxE5f1,3d50fd8e-32fc-44d6-96e5-6bf613840448,4936.984518,2020. 07. 13. 14:14:10,2020. 07. 13. 20:36:55,
0.917060,1594425600000,com.sec.android.app.shealth,1652,671b9bcc-b808-45b9-81d5-7dd7bd542ac1.binning_data,com.sec.android.app.shealth,-2,97.489043,VfS0qUERdZ,671b9bcc-b808-45b9-81d5-7dd7bd542ac1,1212.995488,2020. 07. 13. 14:14:11,2020. 07. 13. 14:14:24,
1.150359,1594512000000,com.sec.android.app.shealth,11100,2977afaa-1c81-474e-8ad8-d172ba873858.binning_data,com.sec.android.app.shealth,-2,509.019773,VfS0qUERdZ,2977afaa-1c81-474e-8ad8-d172ba873858,8028.962158,2020. 07. 13. 14:14:11,2020. 07. 13. 14:14:11,
1.316740,1594598400000,com.sec.android.app.shealth,8298,60654b16-7188-46ba-8586-3b4f81a8687f.binning_data,com.sec.android.app.shealth,-2,411.150834,VfS0qUERdZ,60654b16-7188-46ba-8586-3b4f81a8687f,5966.042179,2020. 07. 13. 14:14:11,2020. 07. 13. 20:37:25,
2.222222,1594425600000,com.sec.android.app.shealth,893,cd87d85f-6235-4d2d-bb15-dd896149b248.binning_data,com.sec.android.app.shealth,23,53.110000,ITeeWLY/e8,cd87d85f-6235-4d2d-bb15-dd896149b248,660.360000,2020. 07. 13. 14:14:24,2020. 07. 13. 14:14:24,
2.224542,1594598400000,com.sec.android.app.shealth,7655,37a70f7e-0ecb-4859-a540-22b70644d5e9.binning_data,com.sec.android.app.shealth,23,395.560000,ITeeWLY/e8,37a70f7e-0ecb-4859-a540-22b70644d5e9,5612.300000,2020. 07. 13. 14:14:24,2020. 07. 13. 20:37:25,
1.682018,1594684800000,com.sec.android.app.shealth,9711,f6002f9a-e655-44ab-a970-0d385349eaf2.binning_data,com.sec.android.app.shealth,0,443.922681,sZOKHxE5f1,f6002f9a-e655-44ab-a970-0d385349eaf2,7100.677608,2020. 07. 14. 14:43:37,2020. 07. 14. 23:36:46,
1.262449,1594684800000,com.sec.android.app.shealth,11434,b3e8674d-804d-4520-9fa3-365d04a04dc2.binning_data,com.sec.android.app.shealth,-2,548.878846,VfS0qUERdZ,b3e8674d-804d-4520-9fa3-365d04a04dc2,8564.288571,2020. 07. 14. 14:43:38,2020. 07. 14. 23:36:49,
2.416667,1594684800000,com.sec.android.app.shealth,10810,5b9cea8f-f8ed-413a-a957-a0c82f9be0b2.binning_data,com.sec.android.app.shealth,23,542.870000,ITeeWLY/e8,5b9cea8f-f8ed-413a-a957-a0c82f9be0b2,8175.150000,2020. 07. 14. 14:43:53,2020. 07. 14. 23:36:49,
1.392134,1594771200000,com.sec.android.app.shealth,17393,363c2ce1-a038-4000-9e2d-3f63493fae54.binning_data,com.sec.android.app.shealth,-2,853.831558,VfS0qUERdZ,363c2ce1-a038-4000-9e2d-3f63493fae54,13297.587664,2020. 07. 15. 14:49:48,2020. 07. 15. 23:38:29,
1.551578,1594771200000,com.sec.android.app.shealth,9602,28ca6a44-c66a-4654-b4d6-415fb7054cfb.binning_data,com.sec.android.app.shealth,0,431.627557,sZOKHxE5f1,28ca6a44-c66a-4654-b4d6-415fb7054cfb,6897.323628,2020. 07. 15. 14:49:51,2020. 07. 15. 23:38:16,
3.555556,1594771200000,com.sec.android.app.shealth,16773,a15e8bec-0a2b-4eb0-a6a7-301623020a41.binning_data,com.sec.android.app.shealth,23,846.050000,ITeeWLY/e8,a15e8bec-0a2b-4eb0-a6a7-301623020a41,12915.102000,2020. 07. 15. 14:50:33,2020. 07. 15. 23:38:29,
1.621286,1594857600000,com.sec.android.app.shealth,5168,f73c182e-65c6-4d3c-82fb-8b5fa6baa0f2.binning_data,com.sec.android.app.shealth,0,224.275863,sZOKHxE5f1,f73c182e-65c6-4d3c-82fb-8b5fa6baa0f2,3608.247936,2020. 07. 16. 10:02:03,2020. 07. 17. 11:29:29,
1.283512,1594857600000,com.sec.android.app.shealth,6685,ef244ee7-7cd6-4e2b-9b5f-df8174eb5274.binning_data,com.sec.android.app.shealth,-2,319.177836,VfS0qUERdZ,ef244ee7-7cd6-4e2b-9b5f-df8174eb5274,4813.038336,2020. 07. 16. 10:02:03,2020. 07. 17. 11:29:47,
3.422137,1594857600000,com.sec.android.app.shealth,6305,998aaa25-54f2-4d62-ae1c-ec95aace874f.binning_data,com.sec.android.app.shealth,23,317.040000,ITeeWLY/e8,998aaa25-54f2-4d62-ae1c-ec95aace874f,4725.321000,2020. 07. 16. 10:02:31,2020. 07. 17. 11:29:47,
1.431502,1594944000000,com.sec.android.app.shealth,2768,4c5fea94-e7d0-40f1-8226-fbe03dd3137a.binning_data,com.sec.android.app.shealth,0,124.578750,sZOKHxE5f1,4c5fea94-e7d0-40f1-8226-fbe03dd3137a,1970.316868,2020. 07. 17. 11:29:29,2020. 07. 17. 14:12:57,
1.301666,1594944000000,com.sec.android.app.shealth,4217,cc654e9c-8f39-475c-b786-64a705a9ab94.binning_data,com.sec.android.app.shealth,-2,204.908664,VfS0qUERdZ,cc654e9c-8f39-475c-b786-64a705a9ab94,3189.465252,2020. 07. 17. 11:29:29,2020. 07. 17. 15:38:54,
5.083334,1594944000000,com.sec.android.app.shealth,4110,26f10449-947c-4e11-9230-6012477418ec.binning_data,com.sec.android.app.shealth,23,208.690000,ITeeWLY/e8,26f10449-947c-4e11-9230-6012477418ec,3131.470000,2020. 07. 17. 11:29:47,2020. 07. 17. 15:38:54,

