com.samsung.health.floors_climbed,1140029,5
end_time,floor,pkg_name,custom,update_time,start_time,datauuid,time_offset,create_time,deviceuuid
2020. 07. 13. 13:09:03,4.000000,com.sec.android.app.shealth,,2020. 07. 13. 13:09:57,2020. 07. 13. 13:07:11,87bd6f69-a991-7801-3b79-69b46654b08c,32400000,2020. 07. 13. 13:09:57,ITeeWLY/e8,
2020. 07. 13. 13:11:40,4.000000,com.sec.android.app.shealth,,2020. 07. 13. 13:12:16,2020. 07. 13. 13:10:03,4d0a72cc-8f84-9af7-2a88-181d2e7c1ac6,32400000,2020. 07. 13. 13:12:16,ITeeWLY/e8,
2020. 07. 14. 09:01:03,12.000000,com.sec.android.app.shealth,,2020. 07. 14. 09:01:39,2020. 07. 14. 08:55:32,e327f6d9-48bf-8aa5-a0d9-7065c89c5c9e,32400000,2020. 07. 14. 08:57:50,ITeeWLY/e8,
2020. 07. 14. 12:21:33,1.000000,com.sec.android.app.shealth,,2020. 07. 14. 12:23:00,2020. 07. 14. 12:21:02,00156b7d-fedd-aba6-31d9-5c613219c5cd,32400000,2020. 07. 14. 12:23:00,ITeeWLY/e8,
2020. 07. 14. 20:17:57,2.000000,com.sec.android.app.shealth,,2020. 07. 14. 20:22:35,2020. 07. 14. 20:17:32,dddf126d-89cd-2803-067d-52ecc156d880,32400000,2020. 07. 14. 20:22:35,ITeeWLY/e8,
2020. 07. 14. 20:21:36,2.000000,com.sec.android.app.shealth,,2020. 07. 14. 20:22:35,2020. 07. 14. 20:20:52,47116cf3-0c85-3a04-7eaf-d4c1a4b2d47d,32400000,2020. 07. 14. 20:22:35,ITeeWLY/e8,
2020. 07. 14. 22:29:39,1.000000,com.sec.android.app.shealth,,2020. 07. 14. 22:47:41,2020. 07. 14. 22:29:23,3005307e-274e-d1da-d1f9-5566d14a778c,32400000,2020. 07. 14. 22:47:41,ITeeWLY/e8,
2020. 07. 14. 22:43:13,1.000000,com.sec.android.app.shealth,,2020. 07. 14. 22:47:41,2020. 07. 14. 22:42:49,1a2e387f-f7fc-f2c8-692b-54d81de20e94,32400000,2020. 07. 14. 22:47:41,ITeeWLY/e8,
2020. 07. 15. 08:53:43,9.000000,com.sec.android.app.shealth,,2020. 07. 15. 08:56:02,2020. 07. 15. 08:49:02,63acda7c-5529-5de3-14af-3566e5348d34,32400000,2020. 07. 15. 08:50:55,ITeeWLY/e8,
2020. 07. 15. 08:55:30,1.000000,com.sec.android.app.shealth,,2020. 07. 15. 08:56:02,2020. 07. 15. 08:55:00,1bf5812b-1749-9aa8-65c8-ca85efec4d45,32400000,2020. 07. 15. 08:56:02,ITeeWLY/e8,
