com.samsung.health.water_intake,1140029,5
amount,custom,pkg_name,update_time,start_time,datauuid,time_offset,create_time,comment,deviceuuid,unit_amount
250.000000,,com.sec.android.app.shealth,2020. 07. 13. 14:29:55,2020. 07. 12. 23:59:58,37594637-9d39-46c7-8303-0d06200fad32,32400000,2020. 07. 13. 14:29:55,,sZOKHxE5f1,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 13. 14:29:56,2020. 07. 12. 23:59:58,bf43f370-5fbf-4b1d-8a91-18b44bacdfe1,32400000,2020. 07. 13. 14:29:56,,sZOKHxE5f1,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 13. 14:29:57,2020. 07. 12. 23:59:58,682bff5b-941e-4850-b574-7280cca09598,32400000,2020. 07. 13. 14:29:57,,sZOKHxE5f1,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 13. 14:29:58,2020. 07. 12. 23:59:58,26b232e5-1b7b-4ddc-a208-27c71b7cafe3,32400000,2020. 07. 13. 14:29:58,,sZOKHxE5f1,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 13. 14:29:58,2020. 07. 12. 23:59:58,2290d355-cce8-45f4-b521-438446937a1e,32400000,2020. 07. 13. 14:29:58,,sZOKHxE5f1,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 13. 14:29:59,2020. 07. 12. 23:59:58,70dadbee-8910-4e80-bc12-76b3c3798436,32400000,2020. 07. 13. 14:29:59,,sZOKHxE5f1,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 13. 14:30:01,2020. 07. 11. 23:59:58,14b74691-0fc4-43ce-b263-560ccaa8ddc5,32400000,2020. 07. 13. 14:30:01,,sZOKHxE5f1,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 13. 14:30:02,2020. 07. 11. 23:59:58,a83a338f-969a-4d65-bdd9-b501a390b047,32400000,2020. 07. 13. 14:30:02,,sZOKHxE5f1,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 13. 14:30:04,2020. 07. 11. 23:59:58,adfe531d-a93d-4734-9f79-4f432fdff301,32400000,2020. 07. 13. 14:30:04,,sZOKHxE5f1,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 13. 14:30:05,2020. 07. 11. 23:59:58,e4a939d5-0694-4400-b916-52f4353f3556,32400000,2020. 07. 13. 14:30:05,,sZOKHxE5f1,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 15. 13:51:34,2020. 07. 15. 13:51:33,c04bb174-3e5d-966f-d690-9fb7d5cc8ae3,32400000,2020. 07. 15. 13:51:34,,ITeeWLY/e8,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 15. 13:51:34,2020. 07. 15. 13:51:34,2f2c7a03-0adb-0f06-3656-6f90eb3c4cde,32400000,2020. 07. 15. 13:51:34,,ITeeWLY/e8,250.000000,
250.000000,,com.sec.android.app.shealth,2020. 07. 15. 13:51:34,2020. 07. 15. 13:51:34,5fb81e53-6b23-0410-e85f-33b21d5c76aa,32400000,2020. 07. 15. 13:51:34,,ITeeWLY/e8,250.000000,

