com.samsung.shealth.food_frequent,1140029,1
lunch_count,pkg_name,morningsnack_count,afternoonsnack_count,breakfast_count,food_info_id,eveningsnack_count,datauuid,deviceuuid,create_time,update_time,dinner_count
0.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,FAA07718-326E-45F8-9BAF-115136033C73,0.000000,65F6BC66-5D7B-49C2-BB6E-D8BA4A67D00F,sZOKHxE5f1,2020. 07. 07. 22:26:30,2020. 07. 07. 22:26:30,1.000000,
0.000000,com.sec.android.app.shealth,0.000000,1.000000,0.000000,0E9997B7-B8D0-4765-AE7B-99D748705D3A,0.000000,5097D140-A8AB-4F64-BB10-1CBC64BC7294,sZOKHxE5f1,2020. 07. 07. 22:27:01,2020. 07. 07. 22:27:01,0.000000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,1.000000,B9AD5658-363C-40CF-A12A-6AE2CE4C625E,0.000000,A6B24423-CA5B-4104-9D5F-B4A2184ACDBD,sZOKHxE5f1,2020. 07. 08. 10:59:17,2020. 07. 08. 10:59:17,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,922FDA7F-1D1D-4CA8-87CB-29C52C1C1238,0.000000,6CC3CDC0-B267-4087-BDD8-17209411EDAA,sZOKHxE5f1,2020. 07. 08. 14:05:07,2020. 07. 08. 14:05:07,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,D0A9B3E6-5219-47C3-8544-44E5294481E0,0.000000,90603DDF-52FA-46E0-BE4D-C89CB9A6F36C,sZOKHxE5f1,2020. 07. 08. 14:05:07,2020. 07. 08. 14:05:07,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,3396F1D2-5335-40FB-A6FA-BE3A2E268D77,0.000000,99B541B0-789C-410E-9A7E-F1ACE1C3307E,sZOKHxE5f1,2020. 07. 09. 14:24:25,2020. 07. 09. 14:24:25,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,2D9BB15A-F567-4142-9489-125CB7097B0C,0.000000,A3337256-2067-4E16-8436-76F26974C866,sZOKHxE5f1,2020. 07. 09. 14:24:25,2020. 07. 09. 14:24:25,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,A28B4EB7-3D80-48C2-B94E-850FE82F8456,0.000000,A734CA20-AACB-4389-BC19-7EE5AF874E0D,sZOKHxE5f1,2020. 07. 09. 14:24:25,2020. 07. 09. 14:24:25,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,F6163884-E437-43E6-A01B-774C4EB0D61A,0.000000,4284FA67-D994-468C-9125-E650EE56D919,sZOKHxE5f1,2020. 07. 10. 14:14:05,2020. 07. 10. 14:14:05,0.000000,

