com.samsung.shealth.activity.day_summary,1140029,1
day_time,goal,update_time,pkg_name,walk_time,longest_idle_time,active_time,longest_active_time,calorie,deviceuuid,run_time,step_count,extra_data,datauuid,distance,create_time,others_time,score
1593388800000,-1,2020. 07. 06. 08:33:26,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,85ea03f9-1fe4-4d3e-83ae-c877bf3cf0ad.extra_data,85ea03f9-1fe4-4d3e-83ae-c877bf3cf0ad,0.000000,2020. 07. 06. 08:33:26,0,0,
1593475200000,-1,2020. 07. 06. 08:33:26,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,e7b579cb-be2c-44c4-884b-92a991c0bbed.extra_data,e7b579cb-be2c-44c4-884b-92a991c0bbed,0.000000,2020. 07. 06. 08:33:26,0,0,
1593561600000,-1,2020. 07. 06. 08:33:26,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,b9d7dd62-51c5-4f8e-ba25-d9d3b28d96dc.extra_data,b9d7dd62-51c5-4f8e-ba25-d9d3b28d96dc,0.000000,2020. 07. 06. 08:33:26,0,0,
1593648000000,-1,2020. 07. 06. 08:33:26,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,8d58ac63-3582-4216-8b96-318a3ff61e39.extra_data,8d58ac63-3582-4216-8b96-318a3ff61e39,0.000000,2020. 07. 06. 08:33:26,0,0,
1593734400000,-1,2020. 07. 06. 08:33:26,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,dfa1a5ac-6fb4-4594-b378-e9fe379c0d43.extra_data,dfa1a5ac-6fb4-4594-b378-e9fe379c0d43,0.000000,2020. 07. 06. 08:33:26,0,0,
1593820800000,-1,2020. 07. 06. 08:33:26,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,dbb1423f-675d-4c43-9654-dee7ee74459a.extra_data,dbb1423f-675d-4c43-9654-dee7ee74459a,0.000000,2020. 07. 06. 08:33:26,0,0,
1593907200000,-1,2020. 07. 06. 08:33:26,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,e5022629-0568-465b-8fa7-1117d36ee88b.extra_data,e5022629-0568-465b-8fa7-1117d36ee88b,0.000000,2020. 07. 06. 08:33:26,0,0,
1593993600000,60,2020. 07. 07. 18:26:57,com.sec.android.app.shealth,8310564,30420000,8310564,2305167,826.194519,sZOKHxE5f1,0,12939,0d6cad6e-5e84-4de0-ac96-54e336dec845.extra_data,0d6cad6e-5e84-4de0-ac96-54e336dec845,9689.833984,2020. 07. 06. 22:04:51,0,230,
1594080000000,80,2020. 07. 08. 10:24:20,com.sec.android.app.shealth,11257278,25440000,11264418,3185182,1119.497070,sZOKHxE5f1,6241,18020,1ddee756-2c77-4f83-ae74-0d92ec93af00.extra_data,1ddee756-2c77-4f83-ae74-0d92ec93af00,13538.171875,2020. 07. 07. 22:26:16,899,233,
1594166400000,80,2020. 07. 09. 14:24:08,com.sec.android.app.shealth,4762257,31020000,4762257,1095774,407.445251,sZOKHxE5f1,0,7649,178c209c-2be8-4b8e-807f-74239e1e3f23.extra_data,178c209c-2be8-4b8e-807f-74239e1e3f23,5550.544434,2020. 07. 08. 17:21:06,0,98,
1594252800000,80,2020. 07. 10. 11:53:34,com.sec.android.app.shealth,4181836,30180000,4703536,1107464,479.217010,sZOKHxE5f1,6800,6914,f5dfb146-fce8-40f2-bb0b-0cda26ae5b31.extra_data,f5dfb146-fce8-40f2-bb0b-0cda26ae5b31,4738.278809,2020. 07. 09. 17:35:48,514900,96,
1594339200000,80,2020. 07. 13. 14:14:25,com.sec.android.app.shealth,6508948,29820000,9313928,2790980,883.209778,sZOKHxE5f1,14000,12512,4f8a1b43-dd21-410e-a7c9-532259ec4c92.extra_data,4f8a1b43-dd21-410e-a7c9-532259ec4c92,7907.074707,2020. 07. 10. 17:38:07,2790980,192,
1594425600000,80,2020. 07. 17. 15:43:19,com.sec.android.app.shealth,1027030,33420000,1027430,300000,97.489044,sZOKHxE5f1,400,1652,9a62609b-c68c-4ff0-918e-dd4a287752ee.extra_data,9a62609b-c68c-4ff0-918e-dd4a287752ee,1212.995483,2020. 07. 13. 14:14:11,0,21,
1594512000000,80,2020. 07. 13. 14:14:11,com.sec.android.app.shealth,6596771,35100000,6596771,1140000,509.019836,sZOKHxE5f1,0,11100,7e31653f-eb53-454a-9c9a-b1e42ccd2de8.extra_data,7e31653f-eb53-454a-9c9a-b1e42ccd2de8,8028.963379,2020. 07. 13. 14:14:11,0,136,
1594598400000,80,2020. 07. 14. 14:43:54,com.sec.android.app.shealth,5288046,29400000,5306158,926833,509.135834,sZOKHxE5f1,18112,8298,0ff386f5-88d4-48f0-b9b1-4d1e6bd8f657.extra_data,0ff386f5-88d4-48f0-b9b1-4d1e6bd8f657,6003.553711,2020. 07. 13. 23:37:35,0,110,
1594684800000,80,2020. 07. 15. 14:50:42,com.sec.android.app.shealth,7442058,30960000,7442858,1197320,672.963013,sZOKHxE5f1,800,11434,80957568-fd21-41ae-8ec0-2dd58c752046.extra_data,80957568-fd21-41ae-8ec0-2dd58c752046,8578.166016,2020. 07. 14. 23:36:49,0,155,
1594771200000,80,2020. 07. 16. 10:02:32,com.sec.android.app.shealth,8756099,30600000,11976312,3179653,1199.500977,sZOKHxE5f1,40560,17393,4e4f680e-8929-48f7-af75-c665db1dd5fc.extra_data,4e4f680e-8929-48f7-af75-c665db1dd5fc,10119.655273,2020. 07. 15. 23:38:30,3179653,247,
1594857600000,80,2020. 07. 17. 11:29:47,com.sec.android.app.shealth,4261563,30900000,4274763,1255266,362.596893,sZOKHxE5f1,13200,6685,5712b752-795e-480f-a1eb-3b62cb01c711.extra_data,5712b752-795e-480f-a1eb-3b62cb01c711,4938.976562,2020. 07. 16. 10:02:45,0,88,
1594944000000,80,2020. 07. 17. 15:43:19,com.sec.android.app.shealth,2732154,31260000,2732154,817514,259.592102,sZOKHxE5f1,0,4217,e772f45a-e513-4cbd-82ed-5170ceaca6f9.extra_data,e772f45a-e513-4cbd-82ed-5170ceaca6f9,3175.084473,2020. 07. 17. 15:43:19,0,0,

