com.samsung.shealth.stress,1140029,7
update_time,pkg_name,time_offset,binning_data,max,start_time,comment,tag_id,deviceuuid,custom,end_time,datauuid,create_time,score,algorithm,min
2020. 07. 08. 14:05:28,com.sec.android.app.shealth,32400000,69b9b21c-2cc5-233b-03e7-a7c3f29082be.binning_data,78.000000,2020. 07. 08. 13:00:00,,10011,ITeeWLY/e8,,2020. 07. 08. 13:59:59,69b9b21c-2cc5-233b-03e7-a7c3f29082be,2020. 07. 08. 14:05:28,1.000000,1,0.000000,
2020. 07. 08. 15:21:13,com.sec.android.app.shealth,32400000,c776703e-b9a4-52e9-3cfd-79785b0a3902.binning_data,89.000000,2020. 07. 08. 14:00:00,,10011,ITeeWLY/e8,,2020. 07. 08. 14:59:59,c776703e-b9a4-52e9-3cfd-79785b0a3902,2020. 07. 08. 15:21:13,0.000000,1,0.000000,
2020. 07. 08. 15:54:48,com.sec.android.app.shealth,32400000,952aae9f-c3e9-06b3-45dc-f8d10c0555ef.binning_data,1.000000,2020. 07. 08. 15:00:00,,10011,ITeeWLY/e8,,2020. 07. 08. 15:54:36,952aae9f-c3e9-06b3-45dc-f8d10c0555ef,2020. 07. 08. 15:54:48,0.000000,1,0.000000,
2020. 07. 09. 09:05:03,com.sec.android.app.shealth,32400000,c1307eff-1b29-b1b4-734b-13c527709b7e.binning_data,74.000000,2020. 07. 09. 08:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 08:59:59,c1307eff-1b29-b1b4-734b-13c527709b7e,2020. 07. 09. 09:05:03,13.000000,1,0.000000,
2020. 07. 09. 10:01:27,com.sec.android.app.shealth,32400000,7310bcdd-06a7-f460-2c12-7c58158be116.binning_data,99.000000,2020. 07. 09. 09:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 09:59:59,7310bcdd-06a7-f460-2c12-7c58158be116,2020. 07. 09. 10:01:27,9.000000,1,0.000000,
2020. 07. 09. 11:03:11,com.sec.android.app.shealth,32400000,d56e8d2d-13ee-ed17-1b39-de81cce56452.binning_data,91.000000,2020. 07. 09. 10:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 10:59:59,d56e8d2d-13ee-ed17-1b39-de81cce56452,2020. 07. 09. 11:03:11,2.000000,1,0.000000,
2020. 07. 09. 12:05:45,com.sec.android.app.shealth,32400000,d49ff942-8072-7ead-3f27-b4521dd89c9e.binning_data,100.000000,2020. 07. 09. 11:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 11:59:59,d49ff942-8072-7ead-3f27-b4521dd89c9e,2020. 07. 09. 12:05:45,8.000000,1,0.000000,
2020. 07. 09. 13:03:36,com.sec.android.app.shealth,32400000,ac2c9b7f-b13e-4987-233b-b2c6934ee751.binning_data,100.000000,2020. 07. 09. 12:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 12:59:59,ac2c9b7f-b13e-4987-233b-b2c6934ee751,2020. 07. 09. 13:03:36,26.000000,1,0.000000,
2020. 07. 09. 14:05:09,com.sec.android.app.shealth,32400000,665d71e0-d230-f17f-5702-25065c16c86c.binning_data,100.000000,2020. 07. 09. 13:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 13:59:59,665d71e0-d230-f17f-5702-25065c16c86c,2020. 07. 09. 14:05:09,22.000000,1,0.000000,
2020. 07. 09. 15:01:32,com.sec.android.app.shealth,32400000,5bfcbf7f-117a-b6da-7dbe-65e0ddd8a110.binning_data,99.000000,2020. 07. 09. 14:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 14:59:59,5bfcbf7f-117a-b6da-7dbe-65e0ddd8a110,2020. 07. 09. 15:01:32,9.000000,1,0.000000,
